Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996132,0.990871,0.993355,0.997765,0.997987,0.000000,0.000000,0.832439,0.991369,0.996701,0.997956,96.210407,
1,0.993308,0.987254,0.986958,0.995027,0.997138,0.141548,0.152803,0.804702,0.988329,0.995514,0.997601,95.700806,
2,0.992460,0.985928,0.986161,0.993913,0.996611,0.137283,0.141548,0.803180,0.987503,0.994945,0.996970,95.431369,
3,0.992074,0.984144,0.984302,0.994368,0.996792,0.137283,0.137283,0.801153,0.987059,0.994815,0.997144,95.354317,
4,0.991862,0.983828,0.985069,0.993284,0.996768,0.173201,0.173201,0.798768,0.986924,0.994835,0.997073,95.351968,
5,0.991221,0.983170,0.984249,0.992986,0.995952,0.150192,0.206343,0.794400,0.985557,0.994313,0.997156,95.160979,
6,0.990760,0.982714,0.982105,0.991646,0.996978,0.150192,0.150192,0.789452,0.985039,0.993826,0.996623,94.996653,
7,0.990665,0.981448,0.982062,0.991748,0.997123,0.198175,0.198175,0.789072,0.985023,0.993892,0.996471,95.030657,
8,0.993070,0.983976,0.986360,0.995299,0.997687,0.200092,0.205264,0.794468,0.986864,0.994825,0.997315,95.671488,
9,0.989063,0.979511,0.982209,0.989510,0.995190,0.200092,0.200092,0.786995,0.984467,0.993774,0.996775,94.702692,
10,0.989433,0.977787,0.982655,0.990385,0.995810,0.208502,0.208502,0.784708,0.984174,0.993707,0.996785,94.792163,
11,0.988588,0.977883,0.980335,0.989352,0.995526,0.223990,0.223990,0.781970,0.982992,0.993220,0.996421,94.574179,
12,0.988409,0.976683,0.977990,0.989629,0.996442,0.215536,0.228705,0.773044,0.981994,0.992860,0.996210,94.492200,
13,0.984990,0.973350,0.970679,0.987849,0.993737,0.215536,0.215536,0.776478,0.980747,0.992025,0.995726,93.666032,
14,0.985970,0.973794,0.973515,0.986927,0.995359,0.287538,0.287538,0.774128,0.981649,0.992408,0.996128,94.028834,
15,0.982236,0.963440,0.967156,0.984418,0.994173,0.424631,0.424631,0.768068,0.981687,0.992495,0.996443,93.432494,
16,0.990563,0.980179,0.985542,0.989742,0.997006,0.533203,0.533203,0.784492,0.985131,0.994155,0.996655,95.483016,
17,0.982303,0.963654,0.968170,0.982989,0.994933,0.535552,0.535552,0.763926,0.981255,0.992072,0.995610,93.508214,
18,0.985091,0.968115,0.979027,0.985197,0.993594,0.514791,0.548226,0.758401,0.979294,0.991150,0.995515,94.032340,
19,0.979235,0.960613,0.960698,0.982076,0.992724,0.429396,0.514791,0.750202,0.977299,0.990024,0.994419,92.509055,
20,0.984592,0.970831,0.974153,0.985675,0.993652,0.338466,0.429396,0.756846,0.978060,0.990492,0.994608,93.585784,
21,0.981835,0.961699,0.966959,0.985340,0.993433,0.263109,0.338466,0.755494,0.978183,0.990875,0.995404,92.970896,
22,0.983928,0.969078,0.971349,0.985374,0.994117,0.263109,0.263109,0.757387,0.978814,0.991369,0.995350,93.443816,
23,0.984403,0.968751,0.970126,0.988174,0.993994,0.265251,0.265251,0.762178,0.980390,0.992290,0.995952,93.642263,
24,0.991578,0.981415,0.985107,0.993771,0.996559,0.346116,0.346116,0.781319,0.986089,0.994937,0.997658,95.577178,
25,0.985413,0.970526,0.975033,0.986809,0.994563,0.440566,0.440566,0.762913,0.980776,0.992393,0.996686,94.157392,
26,0.985968,0.971615,0.976557,0.987575,0.994261,0.503512,0.503512,0.758245,0.979421,0.991587,0.996081,94.273472,
27,0.981406,0.965334,0.966350,0.984396,0.992074,0.565596,0.565596,0.748142,0.975692,0.989534,0.994723,93.155573,
28,0.986535,0.969204,0.977269,0.987500,0.996124,0.531563,0.571974,0.749594,0.978526,0.991177,0.996000,94.410604,
29,0.980724,0.964852,0.965525,0.984752,0.990569,0.531563,0.531563,0.730401,0.969697,0.986279,0.993128,92.680573,
