Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.990657,0.981201,0.983943,0.993316,0.995057,0.000000,0.000000,0.751018,0.977825,0.990351,0.995311,94.508583,
1,0.987271,0.977875,0.977128,0.989727,0.993516,0.141548,0.152803,0.736199,0.974984,0.989116,0.994824,93.867449,
2,0.985867,0.976652,0.975771,0.988532,0.991875,0.137283,0.141548,0.735214,0.973659,0.988329,0.993863,93.440795,
3,0.984200,0.974427,0.973025,0.985843,0.991684,0.137283,0.137283,0.731692,0.971718,0.987513,0.993852,93.037501,
4,0.983462,0.973089,0.973260,0.985213,0.990575,0.173201,0.173201,0.730064,0.971237,0.987207,0.993579,92.888918,
5,0.982811,0.971867,0.971766,0.984619,0.990450,0.150192,0.206343,0.727646,0.969851,0.986560,0.993386,92.670383,
6,0.982094,0.970759,0.968109,0.983517,0.991619,0.150192,0.150192,0.723701,0.969395,0.986204,0.992717,92.447980,
7,0.979621,0.967360,0.961969,0.978723,0.993045,0.198175,0.198175,0.720969,0.967218,0.985493,0.992842,91.948342,
8,0.983152,0.970708,0.969448,0.985932,0.991937,0.200092,0.205264,0.724194,0.969213,0.986441,0.993192,92.789567,
9,0.979396,0.965976,0.966158,0.979268,0.990365,0.200092,0.200092,0.719966,0.966802,0.985185,0.992442,91.855972,
10,0.977934,0.963313,0.963568,0.977700,0.989910,0.208502,0.208502,0.715404,0.963814,0.983430,0.991530,91.393765,
11,0.977896,0.964119,0.963703,0.978112,0.989168,0.223990,0.223990,0.715820,0.963135,0.982925,0.990889,91.329260,
12,0.978991,0.963827,0.961122,0.980490,0.991643,0.215536,0.228705,0.714498,0.964391,0.983709,0.991339,91.631473,
13,0.976059,0.961411,0.956738,0.977466,0.989326,0.215536,0.215536,0.712808,0.961948,0.982086,0.990017,90.813514,
14,0.975604,0.958637,0.955998,0.976871,0.989866,0.287538,0.287538,0.707092,0.961131,0.982225,0.990177,90.830851,
15,0.974761,0.953137,0.957431,0.976464,0.989081,0.424631,0.424631,0.707946,0.963656,0.983512,0.991421,90.990871,
16,0.980589,0.966364,0.968267,0.981746,0.990458,0.533203,0.533203,0.710344,0.963897,0.983023,0.990768,92.316668,
17,0.973143,0.948810,0.954178,0.975248,0.988978,0.535552,0.535552,0.701100,0.960734,0.981200,0.989315,90.511261,
18,0.972527,0.948074,0.956042,0.973109,0.988423,0.514791,0.548226,0.692513,0.956662,0.979182,0.988717,90.210603,
19,0.968821,0.944302,0.944266,0.971018,0.987817,0.429396,0.514791,0.686706,0.954933,0.978753,0.988393,89.258089,
20,0.973630,0.953310,0.953472,0.975604,0.989168,0.338466,0.429396,0.687274,0.954190,0.978364,0.988437,90.161156,
21,0.970548,0.941277,0.948078,0.974104,0.988993,0.263109,0.338466,0.683924,0.953481,0.977976,0.988114,89.358829,
22,0.969468,0.941017,0.945479,0.972016,0.989098,0.263109,0.263109,0.682757,0.953423,0.978099,0.987252,89.064066,
23,0.971971,0.947313,0.950660,0.973446,0.989853,0.265251,0.265251,0.685026,0.955487,0.979243,0.987964,89.717118,
24,0.978750,0.960144,0.964086,0.979970,0.991443,0.346116,0.346116,0.690894,0.960765,0.982439,0.990622,91.648400,
25,0.972326,0.950292,0.950624,0.974960,0.988673,0.440566,0.440566,0.687528,0.958220,0.981255,0.989931,90.270882,
26,0.970756,0.945804,0.951851,0.972328,0.987410,0.503512,0.503512,0.682735,0.954053,0.978940,0.988896,89.820745,
27,0.968341,0.945521,0.942519,0.972297,0.985975,0.565596,0.565596,0.675808,0.949372,0.976999,0.988349,89.244904,
28,0.970964,0.948213,0.953309,0.975178,0.984120,0.531563,0.571974,0.671895,0.947871,0.975680,0.987127,89.611766,
29,0.961516,0.938249,0.937166,0.964839,0.978951,0.531563,0.531563,0.658957,0.934720,0.966860,0.981267,86.713127,
