Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.980404,0.966686,0.966566,0.982110,0.990420,0.000000,0.000000,0.645942,0.947828,0.975156,0.985387,90.839259,
1,0.978191,0.964839,0.961839,0.979145,0.989902,0.141548,0.152803,0.641268,0.945066,0.973719,0.984832,90.435983,
2,0.977379,0.963270,0.960700,0.978691,0.989226,0.137283,0.141548,0.640387,0.942837,0.972723,0.984163,90.153884,
3,0.975997,0.962385,0.958559,0.977877,0.987661,0.137283,0.137283,0.638564,0.941319,0.971952,0.983683,89.783533,
4,0.974779,0.960747,0.954829,0.976892,0.987667,0.173201,0.173201,0.636261,0.939657,0.971419,0.983685,89.543220,
5,0.973458,0.958895,0.950723,0.975446,0.987924,0.150192,0.206343,0.633110,0.937390,0.970384,0.983134,89.140302,
6,0.972892,0.958893,0.946260,0.974507,0.989432,0.150192,0.150192,0.629858,0.936244,0.969825,0.982761,88.967355,
7,0.969330,0.954079,0.940804,0.969995,0.988023,0.198175,0.198175,0.628179,0.935163,0.969448,0.982783,88.248912,
8,0.973078,0.958400,0.950815,0.975089,0.987433,0.200092,0.205264,0.630198,0.935663,0.968928,0.982041,88.972466,
9,0.968338,0.953158,0.943101,0.968680,0.985513,0.200092,0.200092,0.630104,0.933727,0.967720,0.981582,87.861577,
10,0.968100,0.950910,0.945044,0.970882,0.983012,0.208502,0.208502,0.625203,0.929477,0.964714,0.979341,87.512100,
11,0.966268,0.949509,0.943369,0.966021,0.983162,0.223990,0.223990,0.622517,0.927364,0.963216,0.978388,86.999163,
12,0.966245,0.948515,0.938053,0.967415,0.985128,0.215536,0.228705,0.617131,0.925286,0.962701,0.978739,86.994226,
13,0.963283,0.942870,0.931454,0.968048,0.982180,0.215536,0.215536,0.620726,0.925391,0.962246,0.977469,86.233980,
14,0.961968,0.939258,0.933029,0.966939,0.980010,0.287538,0.287538,0.615296,0.923403,0.961787,0.977252,86.012315,
15,0.963687,0.937433,0.932770,0.969743,0.983094,0.424631,0.424631,0.618085,0.928461,0.965033,0.979872,86.905241,
16,0.967753,0.950953,0.947176,0.970516,0.981407,0.533203,0.533203,0.617261,0.926064,0.962962,0.978423,87.705642,
17,0.959703,0.934140,0.929412,0.963652,0.980308,0.535552,0.535552,0.612415,0.919765,0.958618,0.974708,85.501275,
18,0.957634,0.931985,0.927803,0.962273,0.977713,0.514791,0.548226,0.602671,0.911872,0.953852,0.972228,84.639876,
19,0.951327,0.921329,0.916390,0.955979,0.975623,0.429396,0.514791,0.596620,0.906097,0.949828,0.968666,82.744091,
20,0.954708,0.933355,0.925938,0.958397,0.973734,0.338466,0.429396,0.591673,0.900278,0.945774,0.964996,82.896377,
21,0.949704,0.922933,0.920664,0.953740,0.970327,0.263109,0.338466,0.590075,0.898220,0.944888,0.964358,81.653935,
22,0.948828,0.922367,0.922953,0.952052,0.968255,0.263109,0.263109,0.587927,0.895508,0.943133,0.962882,81.281947,
23,0.951448,0.927300,0.924810,0.956851,0.968915,0.265251,0.265251,0.589042,0.898210,0.944699,0.963579,81.960319,
24,0.956539,0.935511,0.934633,0.960635,0.971535,0.346116,0.346116,0.588622,0.901435,0.947395,0.967004,83.528154,
25,0.951388,0.933517,0.926170,0.953537,0.968530,0.440566,0.440566,0.590430,0.899828,0.946527,0.967354,82.535543,
26,0.951220,0.927931,0.922706,0.953643,0.971572,0.503512,0.503512,0.587119,0.899139,0.946068,0.968334,82.641471,
27,0.949888,0.926641,0.915110,0.952634,0.973149,0.565596,0.565596,0.587507,0.895964,0.943762,0.967496,82.269383,
28,0.952110,0.927006,0.924549,0.948664,0.976841,0.531563,0.571974,0.582756,0.894497,0.942458,0.967028,82.617153,
29,0.942954,0.922209,0.908268,0.941464,0.968472,0.531563,0.531563,0.574649,0.884560,0.933893,0.959797,79.769801,
