Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.995315,0.989723,0.991552,0.998177,0.997392,0.000000,0.000000,0.872100,0.992848,0.996412,0.997422,95.975146,
1,0.991554,0.987457,0.986286,0.992818,0.995196,0.367927,0.369508,0.841461,0.986678,0.993332,0.996274,95.398387,
2,0.992143,0.987314,0.986628,0.992105,0.997304,0.361249,0.367927,0.842072,0.987109,0.993124,0.995587,95.455324,
3,0.991906,0.986388,0.986271,0.993883,0.995757,0.361249,0.361249,0.840289,0.986952,0.993668,0.996310,95.485534,
4,0.992128,0.987108,0.986204,0.994235,0.995832,0.362707,0.372621,0.841083,0.987475,0.994198,0.996996,95.616628,
5,0.992444,0.986647,0.986341,0.995328,0.995928,0.362601,0.362707,0.840506,0.986970,0.993702,0.996543,95.624627,
6,0.992396,0.986248,0.986839,0.994591,0.996280,0.360057,0.362601,0.841579,0.987746,0.994332,0.997360,95.707921,
7,0.992310,0.987336,0.986371,0.993261,0.996962,0.357408,0.360057,0.839104,0.987208,0.994010,0.996952,95.636375,
8,0.991844,0.987243,0.986304,0.993203,0.995772,0.357408,0.357408,0.839934,0.986422,0.993399,0.996410,95.460231,
9,0.992527,0.986558,0.987560,0.995818,0.995094,0.371395,0.385095,0.839815,0.986907,0.993585,0.996949,95.681636,
10,0.992245,0.987317,0.986802,0.994655,0.995388,0.361290,0.371395,0.841918,0.987132,0.993370,0.995888,95.512920,
11,0.992054,0.987217,0.985726,0.993795,0.996226,0.361290,0.361290,0.841044,0.987044,0.993777,0.997036,95.581090,
12,0.991287,0.987002,0.985631,0.992936,0.994915,0.361835,0.363956,0.840808,0.986619,0.992875,0.996080,95.295989,
13,0.991890,0.987482,0.985287,0.993962,0.995775,0.361835,0.361835,0.840579,0.986465,0.993408,0.996167,95.457378,
14,0.992335,0.986880,0.987398,0.995642,0.994661,0.362634,0.362634,0.842914,0.987115,0.993060,0.995656,95.501609,
15,0.991223,0.987197,0.985589,0.993007,0.994624,0.366010,0.370648,0.841278,0.986660,0.993176,0.995881,95.285255,
16,0.991991,0.986949,0.986774,0.993829,0.995523,0.365975,0.366010,0.839580,0.987458,0.993938,0.996461,95.537119,
17,0.992067,0.987176,0.985472,0.994241,0.996061,0.365975,0.365975,0.840649,0.987355,0.993975,0.996615,95.566875,
18,0.992457,0.986661,0.986920,0.993997,0.996728,0.368961,0.370598,0.840878,0.987059,0.993921,0.996336,95.629625,
19,0.992432,0.986244,0.987458,0.995548,0.995235,0.368961,0.368961,0.841436,0.988053,0.994351,0.996023,95.623040,
20,0.991797,0.986772,0.985779,0.993505,0.995885,0.370173,0.371992,0.841010,0.987667,0.993984,0.996450,95.502448,
21,0.992370,0.987220,0.987510,0.994324,0.995642,0.356080,0.370173,0.841644,0.987599,0.994034,0.995884,95.564779,
22,0.991430,0.987554,0.986244,0.994483,0.993468,0.356080,0.356080,0.841229,0.986537,0.993094,0.995758,95.302934,
23,0.992011,0.986810,0.986123,0.995185,0.994899,0.362690,0.363434,0.841319,0.987530,0.994115,0.996696,95.563862,
24,0.992224,0.987011,0.987302,0.994423,0.995354,0.362690,0.362690,0.842552,0.987700,0.994459,0.996123,95.580162,
25,0.991077,0.986896,0.985681,0.993789,0.993641,0.363994,0.363994,0.840259,0.987527,0.994303,0.996041,95.318408,
26,0.990898,0.986916,0.985326,0.993554,0.993529,0.365735,0.365735,0.841679,0.987640,0.993954,0.995963,95.260191,
27,0.991629,0.987349,0.985976,0.994092,0.994580,0.373717,0.374079,0.841718,0.987768,0.994382,0.996032,95.455419,
28,0.992491,0.987707,0.986210,0.995042,0.995946,0.366677,0.373717,0.841650,0.988097,0.995159,0.997198,95.763028,
29,0.992571,0.987476,0.986908,0.994595,0.996224,0.366677,0.366677,0.841605,0.988183,0.994565,0.995989,95.657748,
