Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.974602,0.965370,0.955726,0.979599,0.985090,0.000000,0.000000,0.675058,0.949464,0.974475,0.986895,89.642018,
1,0.972483,0.965067,0.953783,0.976819,0.982658,0.367927,0.369508,0.669763,0.945275,0.972142,0.985910,89.473225,
2,0.973457,0.964482,0.955751,0.976828,0.984505,0.361249,0.367927,0.670224,0.946113,0.972224,0.986058,89.691669,
3,0.973738,0.963856,0.955587,0.977015,0.985485,0.361249,0.361249,0.668839,0.944861,0.972149,0.986350,89.770099,
4,0.972740,0.964339,0.954236,0.977747,0.982662,0.362707,0.372621,0.668851,0.945108,0.971943,0.986980,89.599017,
5,0.973974,0.964769,0.956596,0.978005,0.984374,0.362601,0.362707,0.668161,0.944688,0.971690,0.985619,89.745154,
6,0.973757,0.963895,0.955035,0.976991,0.985864,0.360057,0.362601,0.667780,0.944382,0.971420,0.985970,89.710925,
7,0.973739,0.964362,0.954420,0.978361,0.984861,0.357408,0.360057,0.667222,0.944112,0.971092,0.985221,89.629758,
8,0.973000,0.965329,0.954524,0.975265,0.984863,0.357408,0.357408,0.667673,0.943195,0.970363,0.984977,89.416155,
9,0.972811,0.963533,0.953910,0.976028,0.984783,0.371395,0.385095,0.667212,0.943904,0.971082,0.985766,89.490085,
10,0.972542,0.965455,0.954514,0.976177,0.982787,0.361290,0.371395,0.668469,0.944469,0.971343,0.985241,89.388752,
11,0.972792,0.963986,0.953716,0.976394,0.984382,0.361290,0.361290,0.668503,0.944326,0.971454,0.986288,89.530154,
12,0.972082,0.965243,0.953791,0.976459,0.981765,0.361835,0.363956,0.668486,0.944284,0.970725,0.985393,89.275041,
13,0.974027,0.964449,0.954515,0.978379,0.985565,0.361835,0.361835,0.668606,0.944658,0.971821,0.986064,89.795974,
14,0.973092,0.964351,0.954340,0.978813,0.982692,0.362634,0.362634,0.670336,0.945602,0.971739,0.985677,89.561516,
15,0.972254,0.964201,0.953341,0.976397,0.982981,0.366010,0.370648,0.668809,0.944615,0.971443,0.986288,89.420280,
16,0.973155,0.964441,0.954129,0.977472,0.984084,0.365975,0.366010,0.668424,0.945924,0.972328,0.986015,89.635640,
17,0.972906,0.963964,0.954350,0.977121,0.983754,0.365975,0.365975,0.668166,0.945625,0.972323,0.986604,89.628033,
18,0.974188,0.964077,0.956083,0.979115,0.984650,0.368961,0.370598,0.668749,0.945654,0.972075,0.986204,89.864677,
19,0.973482,0.963943,0.955754,0.978106,0.983729,0.368961,0.368961,0.667588,0.946368,0.972785,0.986192,89.746283,
20,0.972665,0.964631,0.955614,0.974767,0.983986,0.370173,0.371992,0.668369,0.945739,0.972453,0.986623,89.588743,
21,0.973452,0.964198,0.954652,0.977477,0.984696,0.356080,0.370173,0.668848,0.945907,0.972652,0.985922,89.693017,
22,0.972911,0.964550,0.955219,0.977320,0.982830,0.356080,0.356080,0.668635,0.945190,0.971953,0.985460,89.507320,
23,0.973351,0.963957,0.954377,0.977016,0.985063,0.362690,0.363434,0.669047,0.945585,0.972507,0.986701,89.734083,
24,0.973444,0.964740,0.955569,0.978219,0.983312,0.362690,0.362690,0.669257,0.946086,0.972952,0.986311,89.743762,
25,0.972471,0.964807,0.953538,0.976834,0.982864,0.363994,0.363994,0.667659,0.945051,0.972169,0.986014,89.477193,
26,0.971770,0.965929,0.953857,0.976046,0.980915,0.365735,0.365735,0.669298,0.946112,0.972659,0.986298,89.373400,
27,0.974082,0.964955,0.956729,0.977334,0.985059,0.373717,0.374079,0.668713,0.944967,0.972202,0.985805,89.819794,
28,0.972635,0.964441,0.953920,0.977994,0.982326,0.366677,0.373717,0.668660,0.945535,0.972903,0.987284,89.649182,
29,0.973819,0.966061,0.953805,0.977392,0.985524,0.366677,0.366677,0.668235,0.945780,0.972691,0.986401,89.825824,
