Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.972444,0.964055,0.957292,0.976644,0.981106,0.000000,0.000000,0.679871,0.949317,0.974316,0.986207,89.108647,
1,0.971256,0.963279,0.955127,0.976159,0.979714,0.367927,0.369508,0.674651,0.944943,0.971761,0.984334,89.059474,
2,0.970919,0.962519,0.955306,0.974887,0.980036,0.361249,0.367927,0.675701,0.945223,0.971166,0.983893,88.916808,
3,0.970579,0.962548,0.956518,0.973511,0.979510,0.361249,0.361249,0.673796,0.943885,0.970969,0.984591,88.889399,
4,0.971088,0.961970,0.956385,0.976115,0.979099,0.362707,0.372621,0.673965,0.945079,0.971750,0.985430,89.104562,
5,0.971706,0.963353,0.955227,0.977382,0.979892,0.362601,0.362707,0.673372,0.944175,0.970811,0.983675,89.055312,
6,0.970870,0.962576,0.955684,0.973832,0.980532,0.360057,0.362601,0.673124,0.944179,0.971114,0.984415,88.944534,
7,0.971607,0.962688,0.955700,0.975813,0.980919,0.357408,0.360057,0.672911,0.944322,0.971042,0.984037,89.067097,
8,0.971331,0.963265,0.956139,0.975210,0.980137,0.357408,0.357408,0.673095,0.943588,0.970399,0.983617,88.944142,
9,0.971368,0.962174,0.956701,0.976209,0.979541,0.371395,0.385095,0.672432,0.943677,0.970725,0.984292,89.039029,
10,0.971539,0.964157,0.955895,0.975801,0.980017,0.361290,0.371395,0.673673,0.944282,0.970760,0.983538,89.004506,
11,0.970503,0.962812,0.953931,0.974880,0.979562,0.361290,0.361290,0.673965,0.943834,0.970904,0.984198,88.838491,
12,0.971437,0.963846,0.956005,0.975582,0.979970,0.361835,0.363956,0.674009,0.944490,0.970628,0.983979,89.012603,
13,0.971620,0.963154,0.955316,0.977073,0.979954,0.361835,0.361835,0.673913,0.944283,0.971183,0.984500,89.117125,
14,0.970979,0.963136,0.955638,0.977194,0.977854,0.362634,0.362634,0.675281,0.945012,0.971129,0.984165,88.951556,
15,0.971053,0.963139,0.956477,0.975920,0.978636,0.366010,0.370648,0.674437,0.944853,0.971488,0.984807,89.039052,
16,0.970746,0.962879,0.955305,0.975121,0.979220,0.365975,0.366010,0.674003,0.946025,0.972273,0.985198,89.042198,
17,0.972162,0.962657,0.955569,0.977793,0.980944,0.365975,0.365975,0.674108,0.946002,0.972455,0.985445,89.374452,
18,0.972407,0.962420,0.957781,0.977423,0.980746,0.368961,0.370598,0.674717,0.946278,0.972377,0.985492,89.431615,
19,0.970771,0.962103,0.957583,0.975515,0.977959,0.368961,0.368961,0.673043,0.946713,0.972941,0.984960,89.064959,
20,0.970417,0.963174,0.955943,0.973752,0.978923,0.370173,0.371992,0.673618,0.945927,0.972526,0.985585,89.018828,
21,0.970412,0.962325,0.956115,0.974099,0.978873,0.356080,0.370173,0.673986,0.945601,0.972347,0.984594,88.911678,
22,0.970269,0.963544,0.956051,0.975725,0.976676,0.356080,0.356080,0.673455,0.945038,0.971526,0.983798,88.780901,
23,0.970790,0.963074,0.954980,0.975652,0.979020,0.362690,0.363434,0.674380,0.945907,0.972369,0.985443,89.070344,
24,0.971578,0.963071,0.958669,0.975988,0.978814,0.362690,0.362690,0.674901,0.945751,0.972397,0.984782,89.187593,
25,0.970545,0.963333,0.955773,0.976948,0.976691,0.363994,0.363994,0.673452,0.945755,0.972392,0.985135,88.996491,
26,0.970017,0.963565,0.954917,0.975654,0.976673,0.365735,0.365735,0.674820,0.946254,0.972491,0.985025,88.880316,
27,0.971735,0.963032,0.957875,0.976736,0.979097,0.373717,0.374079,0.674279,0.946100,0.972908,0.984904,89.269206,
28,0.971364,0.963518,0.955330,0.976602,0.979469,0.366677,0.373717,0.674156,0.945931,0.973031,0.986301,89.296597,
29,0.971692,0.964402,0.958196,0.975485,0.979282,0.366677,0.366677,0.673788,0.946289,0.972755,0.985378,89.283285,
