Picture Number:    0	 QP:    2  [ PSNR-Y: 48.92 dB,	PSNR-U: 53.29 dB,	PSNR-V: 53.72 dB,	MSE-Y: 0.83,	MSE-U: 0.30,	MSE-V: 0.28,	SSIM-Y: 0.99189,	SSIM-U: 0.99531,	SSIM-V: 0.99584 ]	  21635 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 49.02 dB,	PSNR-U: 46.71 dB,	PSNR-V: 48.58 dB,	MSE-Y: 0.81,	MSE-U: 1.39,	MSE-V: 0.90,	SSIM-Y: 0.99208,	SSIM-U: 0.98023,	SSIM-V: 0.98752 ]	    180 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 49.12 dB,	PSNR-U: 48.84 dB,	PSNR-V: 50.24 dB,	MSE-Y: 0.80,	MSE-U: 0.85,	MSE-V: 0.62,	SSIM-Y: 0.99212,	SSIM-U: 0.98839,	SSIM-V: 0.99157 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 49.06 dB,	PSNR-U: 46.51 dB,	PSNR-V: 48.63 dB,	MSE-Y: 0.81,	MSE-U: 1.45,	MSE-V: 0.89,	SSIM-Y: 0.99204,	SSIM-U: 0.98000,	SSIM-V: 0.98756 ]	     23 bytes
Picture Number:    4	 QP:   20  [ PSNR-Y: 49.10 dB,	PSNR-U: 48.60 dB,	PSNR-V: 49.98 dB,	MSE-Y: 0.80,	MSE-U: 0.90,	MSE-V: 0.65,	SSIM-Y: 0.99218,	SSIM-U: 0.98830,	SSIM-V: 0.99145 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 49.05 dB,	PSNR-U: 46.68 dB,	PSNR-V: 48.09 dB,	MSE-Y: 0.81,	MSE-U: 1.40,	MSE-V: 1.01,	SSIM-Y: 0.99207,	SSIM-U: 0.97995,	SSIM-V: 0.98726 ]	     45 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 49.03 dB,	PSNR-U: 48.79 dB,	PSNR-V: 50.00 dB,	MSE-Y: 0.81,	MSE-U: 0.86,	MSE-V: 0.65,	SSIM-Y: 0.99212,	SSIM-U: 0.98813,	SSIM-V: 0.99152 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 49.08 dB,	PSNR-U: 46.79 dB,	PSNR-V: 48.72 dB,	MSE-Y: 0.80,	MSE-U: 1.36,	MSE-V: 0.87,	SSIM-Y: 0.99212,	SSIM-U: 0.98052,	SSIM-V: 0.98761 ]	     23 bytes
Picture Number:    8	 QP:   17  [ PSNR-Y: 49.01 dB,	PSNR-U: 48.83 dB,	PSNR-V: 50.29 dB,	MSE-Y: 0.82,	MSE-U: 0.85,	MSE-V: 0.61,	SSIM-Y: 0.99210,	SSIM-U: 0.98821,	SSIM-V: 0.99156 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 48.56 dB,	PSNR-U: 46.81 dB,	PSNR-V: 48.62 dB,	MSE-Y: 0.90,	MSE-U: 1.36,	MSE-V: 0.89,	SSIM-Y: 0.99145,	SSIM-U: 0.98062,	SSIM-V: 0.98789 ]	     67 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 48.65 dB,	PSNR-U: 49.09 dB,	PSNR-V: 50.10 dB,	MSE-Y: 0.89,	MSE-U: 0.80,	MSE-V: 0.64,	SSIM-Y: 0.99156,	SSIM-U: 0.98864,	SSIM-V: 0.99168 ]	      5 bytes
