Picture Number:    0	 QP:    4  [ PSNR-Y: 48.19 dB,	PSNR-U: 49.29 dB,	PSNR-V: 50.48 dB,	MSE-Y: 0.99,	MSE-U: 0.77,	MSE-V: 0.58,	SSIM-Y: 0.99098,	SSIM-U: 0.98923,	SSIM-V: 0.99269 ]	  13861 bytes
Picture Number:    1	 QP:   27  [ PSNR-Y: 48.24 dB,	PSNR-U: 49.14 dB,	PSNR-V: 50.12 dB,	MSE-Y: 0.97,	MSE-U: 0.79,	MSE-V: 0.63,	SSIM-Y: 0.99116,	SSIM-U: 0.98886,	SSIM-V: 0.99262 ]	    160 bytes
Picture Number:    2	 QP:   25  [ PSNR-Y: 48.31 dB,	PSNR-U: 49.21 dB,	PSNR-V: 50.31 dB,	MSE-Y: 0.96,	MSE-U: 0.78,	MSE-V: 0.61,	SSIM-Y: 0.99119,	SSIM-U: 0.98910,	SSIM-V: 0.99256 ]	      5 bytes
Picture Number:    3	 QP:   27  [ PSNR-Y: 48.24 dB,	PSNR-U: 48.90 dB,	PSNR-V: 50.85 dB,	MSE-Y: 0.98,	MSE-U: 0.84,	MSE-V: 0.53,	SSIM-Y: 0.99105,	SSIM-U: 0.98873,	SSIM-V: 0.99260 ]	     24 bytes
Picture Number:    4	 QP:   23  [ PSNR-Y: 48.30 dB,	PSNR-U: 48.89 dB,	PSNR-V: 50.65 dB,	MSE-Y: 0.96,	MSE-U: 0.84,	MSE-V: 0.56,	SSIM-Y: 0.99119,	SSIM-U: 0.98890,	SSIM-V: 0.99242 ]	      5 bytes
Picture Number:    5	 QP:   27  [ PSNR-Y: 48.26 dB,	PSNR-U: 49.12 dB,	PSNR-V: 50.57 dB,	MSE-Y: 0.97,	MSE-U: 0.80,	MSE-V: 0.57,	SSIM-Y: 0.99110,	SSIM-U: 0.98863,	SSIM-V: 0.99253 ]	     50 bytes
Picture Number:    6	 QP:   25  [ PSNR-Y: 48.24 dB,	PSNR-U: 49.20 dB,	PSNR-V: 50.79 dB,	MSE-Y: 0.98,	MSE-U: 0.78,	MSE-V: 0.54,	SSIM-Y: 0.99111,	SSIM-U: 0.98911,	SSIM-V: 0.99257 ]	      5 bytes
Picture Number:    7	 QP:   27  [ PSNR-Y: 48.30 dB,	PSNR-U: 49.19 dB,	PSNR-V: 50.53 dB,	MSE-Y: 0.96,	MSE-U: 0.78,	MSE-V: 0.57,	SSIM-Y: 0.99116,	SSIM-U: 0.98897,	SSIM-V: 0.99255 ]	     24 bytes
Picture Number:    8	 QP:   19  [ PSNR-Y: 48.24 dB,	PSNR-U: 49.29 dB,	PSNR-V: 50.89 dB,	MSE-Y: 0.98,	MSE-U: 0.77,	MSE-V: 0.53,	SSIM-Y: 0.99108,	SSIM-U: 0.98921,	SSIM-V: 0.99275 ]	      5 bytes
Picture Number:    9	 QP:   27  [ PSNR-Y: 48.22 dB,	PSNR-U: 49.27 dB,	PSNR-V: 50.89 dB,	MSE-Y: 0.98,	MSE-U: 0.77,	MSE-V: 0.53,	SSIM-Y: 0.99105,	SSIM-U: 0.98919,	SSIM-V: 0.99269 ]	     71 bytes
Picture Number:   10	 QP:   25  [ PSNR-Y: 48.28 dB,	PSNR-U: 49.42 dB,	PSNR-V: 50.80 dB,	MSE-Y: 0.97,	MSE-U: 0.74,	MSE-V: 0.54,	SSIM-Y: 0.99112,	SSIM-U: 0.98942,	SSIM-V: 0.99263 ]	      5 bytes
