Picture Number:    0	 QP:    8  [ PSNR-Y: 46.88 dB,	PSNR-U: 48.48 dB,	PSNR-V: 49.55 dB,	MSE-Y: 1.33,	MSE-U: 0.92,	MSE-V: 0.72,	SSIM-Y: 0.98953,	SSIM-U: 0.98758,	SSIM-V: 0.99142 ]	   9517 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 46.86 dB,	PSNR-U: 48.51 dB,	PSNR-V: 49.17 dB,	MSE-Y: 1.34,	MSE-U: 0.92,	MSE-V: 0.79,	SSIM-Y: 0.98960,	SSIM-U: 0.98739,	SSIM-V: 0.99125 ]	    138 bytes
Picture Number:    2	 QP:   35  [ PSNR-Y: 46.95 dB,	PSNR-U: 48.35 dB,	PSNR-V: 49.45 dB,	MSE-Y: 1.31,	MSE-U: 0.95,	MSE-V: 0.74,	SSIM-Y: 0.98972,	SSIM-U: 0.98738,	SSIM-V: 0.99132 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 46.88 dB,	PSNR-U: 48.25 dB,	PSNR-V: 49.88 dB,	MSE-Y: 1.33,	MSE-U: 0.97,	MSE-V: 0.67,	SSIM-Y: 0.98952,	SSIM-U: 0.98742,	SSIM-V: 0.99132 ]	     24 bytes
Picture Number:    4	 QP:   33  [ PSNR-Y: 46.95 dB,	PSNR-U: 48.02 dB,	PSNR-V: 49.77 dB,	MSE-Y: 1.31,	MSE-U: 1.03,	MSE-V: 0.69,	SSIM-Y: 0.98964,	SSIM-U: 0.98716,	SSIM-V: 0.99111 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 46.90 dB,	PSNR-U: 48.56 dB,	PSNR-V: 49.74 dB,	MSE-Y: 1.33,	MSE-U: 0.90,	MSE-V: 0.69,	SSIM-Y: 0.98953,	SSIM-U: 0.98745,	SSIM-V: 0.99124 ]	     46 bytes
Picture Number:    6	 QP:   35  [ PSNR-Y: 46.88 dB,	PSNR-U: 48.53 dB,	PSNR-V: 50.01 dB,	MSE-Y: 1.33,	MSE-U: 0.91,	MSE-V: 0.65,	SSIM-Y: 0.98953,	SSIM-U: 0.98751,	SSIM-V: 0.99141 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 46.94 dB,	PSNR-U: 48.51 dB,	PSNR-V: 49.60 dB,	MSE-Y: 1.31,	MSE-U: 0.92,	MSE-V: 0.71,	SSIM-Y: 0.98964,	SSIM-U: 0.98749,	SSIM-V: 0.99136 ]	     24 bytes
Picture Number:    8	 QP:   29  [ PSNR-Y: 46.92 dB,	PSNR-U: 48.56 dB,	PSNR-V: 50.00 dB,	MSE-Y: 1.32,	MSE-U: 0.91,	MSE-V: 0.65,	SSIM-Y: 0.98964,	SSIM-U: 0.98756,	SSIM-V: 0.99156 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 46.86 dB,	PSNR-U: 48.80 dB,	PSNR-V: 49.90 dB,	MSE-Y: 1.34,	MSE-U: 0.86,	MSE-V: 0.67,	SSIM-Y: 0.98951,	SSIM-U: 0.98811,	SSIM-V: 0.99138 ]	     68 bytes
Picture Number:   10	 QP:   35  [ PSNR-Y: 46.93 dB,	PSNR-U: 48.57 dB,	PSNR-V: 49.96 dB,	MSE-Y: 1.32,	MSE-U: 0.90,	MSE-V: 0.66,	SSIM-Y: 0.98958,	SSIM-U: 0.98769,	SSIM-V: 0.99143 ]	      5 bytes
Picture Number:   11	 QP:   37  [ PSNR-Y: 46.88 dB,	PSNR-U: 48.30 dB,	PSNR-V: 49.80 dB,	MSE-Y: 1.33,	MSE-U: 0.96,	MSE-V: 0.68,	SSIM-Y: 0.98955,	SSIM-U: 0.98762,	SSIM-V: 0.99116 ]	     24 bytes
Picture Number:   12	 QP:   33  [ PSNR-Y: 46.91 dB,	PSNR-U: 48.30 dB,	PSNR-V: 50.03 dB,	MSE-Y: 1.33,	MSE-U: 0.96,	MSE-V: 0.65,	SSIM-Y: 0.98961,	SSIM-U: 0.98754,	SSIM-V: 0.99153 ]	      5 bytes
