Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.992974,0.984765,0.987528,0.993715,0.997760,0.000000,0.000000,0.865431,0.990480,0.995983,0.998473,95.519289,
1,0.994564,0.987723,0.989738,0.995036,0.998803,0.141548,0.152803,0.876511,0.993100,0.997237,0.999106,96.176473,
2,0.994159,0.987996,0.989145,0.994379,0.998462,0.137283,0.141548,0.878977,0.993508,0.997400,0.998892,96.074591,
3,0.994154,0.987695,0.988292,0.995129,0.998420,0.137283,0.137283,0.880713,0.994308,0.997864,0.999246,96.126481,
4,0.994463,0.987493,0.990888,0.995851,0.997447,0.173201,0.173201,0.880454,0.993903,0.997503,0.999070,96.210282,
5,0.994304,0.986718,0.991435,0.994319,0.998120,0.150192,0.206343,0.878693,0.993238,0.997275,0.999297,96.148943,
6,0.994525,0.988383,0.990172,0.993241,0.999575,0.150192,0.150192,0.874078,0.992806,0.996846,0.998881,96.142716,
7,0.993607,0.985385,0.985940,0.994402,0.999490,0.198175,0.198175,0.868816,0.992682,0.996870,0.998430,95.972776,
8,0.994090,0.985831,0.988145,0.996437,0.997970,0.200092,0.205264,0.867127,0.991622,0.996274,0.998034,96.016876,
9,0.991281,0.980893,0.984249,0.991581,0.997872,0.200092,0.200092,0.855083,0.989188,0.995257,0.997708,95.323374,
10,0.991731,0.980410,0.985966,0.992239,0.997824,0.208502,0.208502,0.854557,0.988916,0.994983,0.997572,95.408272,
11,0.990057,0.980829,0.982636,0.991204,0.995834,0.223990,0.223990,0.850894,0.986956,0.994005,0.996840,94.953631,
12,0.989815,0.981170,0.979106,0.991239,0.996873,0.215536,0.228705,0.842795,0.986624,0.994189,0.997003,94.911098,
13,0.987883,0.976711,0.977054,0.991447,0.994221,0.215536,0.215536,0.841699,0.985039,0.992848,0.996125,94.353639,
14,0.988073,0.975616,0.977775,0.991354,0.994766,0.287538,0.287538,0.833580,0.985231,0.993224,0.996688,94.556653,
15,0.987822,0.971776,0.976405,0.991505,0.995938,0.424631,0.424631,0.831401,0.986295,0.993737,0.996923,94.732837,
16,0.989066,0.978200,0.977685,0.991104,0.996737,0.533203,0.533203,0.828861,0.986579,0.993948,0.996728,95.144787,
17,0.985358,0.966219,0.968702,0.988482,0.997598,0.535552,0.535552,0.812398,0.984855,0.993012,0.995756,94.218332,
18,0.988101,0.968094,0.975443,0.992472,0.997760,0.514791,0.548226,0.805448,0.984001,0.992943,0.996368,94.831473,
19,0.983718,0.961081,0.964127,0.990427,0.996155,0.429396,0.514791,0.794803,0.980989,0.991391,0.995197,93.593517,
20,0.987584,0.969643,0.978416,0.990138,0.996252,0.338466,0.429396,0.795467,0.979889,0.990742,0.994884,94.253199,
21,0.985850,0.960536,0.973893,0.990837,0.996545,0.263109,0.338466,0.794162,0.979255,0.990645,0.994895,93.770857,
22,0.986132,0.962609,0.977283,0.990858,0.994807,0.263109,0.263109,0.795611,0.979734,0.990941,0.994862,93.844074,
23,0.985812,0.966089,0.973943,0.990317,0.994958,0.265251,0.265251,0.799947,0.981005,0.991221,0.994783,93.787178,
24,0.988241,0.975525,0.979364,0.990688,0.995097,0.346116,0.346116,0.806817,0.983557,0.992802,0.996237,94.617951,
25,0.986699,0.971384,0.975472,0.989424,0.995400,0.440566,0.440566,0.804019,0.982842,0.992437,0.995705,94.347423,
26,0.986410,0.968228,0.975438,0.987637,0.997052,0.503512,0.503512,0.797989,0.980909,0.991525,0.995278,94.287229,
27,0.984133,0.967888,0.970320,0.986434,0.994750,0.565596,0.565596,0.790976,0.976329,0.988989,0.994187,93.657636,
28,0.985247,0.970056,0.975932,0.988007,0.992815,0.531563,0.571974,0.787728,0.976283,0.989231,0.994691,93.906742,
29,0.979197,0.961886,0.966876,0.983184,0.988071,0.531563,0.531563,0.766020,0.966165,0.983433,0.990771,91.994765,
