Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.994481,0.984965,0.990448,0.996481,0.998049,0.000000,0.000000,0.840771,0.990676,0.996313,0.998126,95.841319,
1,0.994215,0.985978,0.990124,0.996119,0.997473,0.141548,0.152803,0.845005,0.991389,0.996508,0.998102,95.983639,
2,0.994046,0.985593,0.990776,0.995481,0.997307,0.137283,0.141548,0.846875,0.991607,0.996690,0.997915,95.934791,
3,0.994429,0.985592,0.990571,0.997315,0.997043,0.137283,0.137283,0.847927,0.991459,0.996526,0.998078,96.022979,
4,0.993556,0.984866,0.990449,0.994861,0.996911,0.173201,0.173201,0.845315,0.990927,0.996372,0.998000,95.866214,
5,0.993805,0.984346,0.990710,0.994131,0.998102,0.150192,0.206343,0.845643,0.990702,0.996546,0.998616,95.945403,
6,0.993975,0.985661,0.988264,0.994393,0.999149,0.150192,0.150192,0.844227,0.991203,0.996667,0.998479,95.979610,
7,0.993031,0.983039,0.986398,0.993809,0.998970,0.198175,0.198175,0.842151,0.991171,0.996667,0.998397,95.832689,
8,0.994050,0.984209,0.987357,0.997046,0.998331,0.200092,0.205264,0.843158,0.991359,0.996624,0.998167,96.037330,
9,0.991770,0.980545,0.985662,0.992572,0.997794,0.200092,0.200092,0.835913,0.989435,0.995765,0.997716,95.458711,
10,0.992455,0.981012,0.985887,0.993948,0.998265,0.208502,0.208502,0.836027,0.988513,0.995400,0.997471,95.578748,
11,0.990798,0.980157,0.984693,0.992691,0.995822,0.223990,0.223990,0.835372,0.988210,0.994960,0.996940,95.175561,
12,0.991559,0.981703,0.983606,0.992961,0.997633,0.215536,0.228705,0.830060,0.988085,0.995315,0.997589,95.398492,
13,0.990506,0.977931,0.982490,0.993905,0.995995,0.215536,0.215536,0.828823,0.986211,0.993725,0.996327,94.988651,
14,0.989638,0.977677,0.981364,0.991386,0.996281,0.287538,0.287538,0.822107,0.986416,0.993820,0.996381,94.908051,
15,0.988101,0.971566,0.976431,0.993118,0.995516,0.424631,0.424631,0.815128,0.986194,0.993856,0.996549,94.773418,
16,0.990404,0.978580,0.980912,0.992150,0.997642,0.533203,0.533203,0.813183,0.986859,0.994501,0.996900,95.480097,
17,0.990364,0.972864,0.984026,0.992453,0.997612,0.535552,0.535552,0.804152,0.985479,0.993823,0.995986,95.367656,
18,0.990152,0.972077,0.982741,0.992869,0.997740,0.514791,0.548226,0.801678,0.985047,0.993820,0.996410,95.326550,
19,0.987886,0.970831,0.974306,0.992040,0.997322,0.429396,0.514791,0.793951,0.982919,0.992691,0.995526,94.592425,
20,0.987318,0.973620,0.976326,0.989300,0.995967,0.338466,0.429396,0.790470,0.980480,0.991574,0.995023,94.248739,
21,0.987671,0.967243,0.976969,0.992631,0.996138,0.263109,0.338466,0.795935,0.982082,0.992107,0.995256,94.272298,
22,0.988028,0.970722,0.980993,0.992449,0.993966,0.263109,0.263109,0.796323,0.981829,0.991962,0.994852,94.309659,
23,0.987040,0.971066,0.976575,0.992150,0.993778,0.265251,0.265251,0.796938,0.981923,0.991815,0.994707,94.079769,
24,0.989027,0.976890,0.981815,0.992544,0.994025,0.346116,0.346116,0.800625,0.983932,0.992888,0.995826,94.764235,
25,0.988616,0.973544,0.980582,0.991536,0.995456,0.440566,0.440566,0.797797,0.982919,0.992686,0.995776,94.784061,
26,0.987448,0.973013,0.980424,0.989690,0.994062,0.503512,0.503512,0.795072,0.980667,0.991232,0.995434,94.512426,
27,0.986323,0.971563,0.975089,0.991086,0.993265,0.565596,0.565596,0.790334,0.978220,0.990208,0.994646,94.232822,
28,0.986368,0.969984,0.977486,0.989475,0.993840,0.531563,0.571974,0.778806,0.973999,0.987583,0.993565,93.981625,
29,0.981638,0.965015,0.972453,0.985063,0.989117,0.531563,0.531563,0.760201,0.964865,0.982260,0.990126,92.419289,
