Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.994430,0.984277,0.990885,0.996316,0.998040,0.000000,0.000000,0.823253,0.988736,0.994913,0.997241,95.693139,
1,0.993510,0.984529,0.989455,0.994974,0.997310,0.141548,0.152803,0.825642,0.988227,0.994214,0.996816,95.614509,
2,0.992891,0.983412,0.989648,0.993948,0.996745,0.137283,0.141548,0.824669,0.987639,0.993846,0.996255,95.410325,
3,0.992818,0.982535,0.987028,0.996252,0.996455,0.137283,0.137283,0.825347,0.987863,0.993900,0.996698,95.433272,
4,0.993013,0.982276,0.987461,0.996719,0.996484,0.173201,0.173201,0.823476,0.987553,0.994109,0.996681,95.530883,
5,0.992673,0.981914,0.988725,0.994124,0.996986,0.150192,0.206343,0.823460,0.987349,0.994062,0.996812,95.433554,
6,0.993179,0.983321,0.986896,0.994143,0.998730,0.150192,0.150192,0.821539,0.987777,0.994303,0.997037,95.575318,
7,0.992732,0.981907,0.985546,0.994622,0.998399,0.198175,0.198175,0.821655,0.988304,0.994347,0.996687,95.518822,
8,0.993886,0.982667,0.987909,0.996505,0.998522,0.200092,0.205264,0.822480,0.989109,0.994972,0.997001,95.829187,
9,0.990771,0.979699,0.985271,0.990949,0.996903,0.200092,0.200092,0.814834,0.986991,0.994091,0.996837,95.091531,
10,0.991535,0.979195,0.984302,0.994028,0.997227,0.208502,0.208502,0.814845,0.986539,0.993788,0.996723,95.244181,
11,0.989911,0.978489,0.982316,0.992269,0.995584,0.223990,0.223990,0.812708,0.985006,0.992883,0.996035,94.809852,
12,0.989835,0.979170,0.981723,0.991628,0.995956,0.215536,0.228705,0.808617,0.984670,0.993197,0.996747,94.853065,
13,0.988850,0.975834,0.980802,0.991856,0.994782,0.215536,0.215536,0.806532,0.982821,0.991590,0.995056,94.424347,
14,0.989460,0.975380,0.980573,0.991991,0.996506,0.287538,0.287538,0.798660,0.982479,0.991735,0.995461,94.693854,
15,0.987673,0.970816,0.977114,0.990945,0.995920,0.424631,0.424631,0.795392,0.982865,0.991891,0.995482,94.499744,
16,0.989170,0.977364,0.980466,0.990190,0.996548,0.533203,0.533203,0.796934,0.984209,0.993050,0.996354,95.096550,
17,0.989083,0.970039,0.977133,0.994320,0.997316,0.535552,0.535552,0.787445,0.983096,0.992714,0.996077,95.042649,
18,0.988738,0.968359,0.979533,0.992735,0.997030,0.514791,0.548226,0.784028,0.982250,0.992373,0.996252,94.936767,
19,0.988609,0.968335,0.975731,0.993352,0.998285,0.429396,0.514791,0.779604,0.982090,0.992149,0.995672,94.740523,
20,0.988635,0.971048,0.980471,0.990518,0.997174,0.338466,0.429396,0.782080,0.980507,0.991452,0.995427,94.566630,
21,0.988293,0.965935,0.975794,0.993000,0.998503,0.263109,0.338466,0.780320,0.980196,0.991174,0.995140,94.356612,
22,0.985509,0.968697,0.977737,0.986589,0.994173,0.263109,0.263109,0.778413,0.978444,0.990122,0.994165,93.620517,
23,0.987461,0.970100,0.976250,0.992083,0.995405,0.265251,0.265251,0.779414,0.979646,0.990768,0.994470,94.105009,
24,0.989558,0.975217,0.981747,0.992098,0.996335,0.346116,0.346116,0.784592,0.982468,0.992345,0.995700,94.846581,
25,0.986131,0.971715,0.975190,0.987690,0.995287,0.440566,0.440566,0.777902,0.980195,0.991660,0.995550,94.177889,
26,0.986164,0.969874,0.978625,0.987408,0.994419,0.503512,0.503512,0.778208,0.978705,0.990418,0.995332,94.188596,
27,0.984927,0.969933,0.973379,0.988082,0.993328,0.565596,0.565596,0.774756,0.976297,0.989185,0.994365,93.860969,
28,0.986213,0.971151,0.978640,0.989667,0.992331,0.531563,0.571974,0.771744,0.976684,0.989127,0.994193,94.082529,
29,0.979762,0.964510,0.966680,0.984964,0.987442,0.531563,0.531563,0.748036,0.964098,0.981519,0.989084,91.902818,
