Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.994982,0.991697,0.990345,0.997272,0.997097,0.000000,0.000000,0.891595,0.993065,0.996802,0.996941,95.881256,
1,0.993923,0.991493,0.990861,0.995022,0.995760,0.367927,0.369508,0.894138,0.992905,0.996305,0.997423,96.167142,
2,0.994855,0.991305,0.991278,0.994931,0.998288,0.361249,0.367927,0.894027,0.993188,0.996314,0.996983,96.327726,
3,0.994418,0.990875,0.990834,0.995186,0.997284,0.361249,0.361249,0.892943,0.992911,0.996587,0.997955,96.320982,
4,0.994568,0.991121,0.990864,0.995375,0.997430,0.362707,0.372621,0.893694,0.993170,0.996836,0.998116,96.381031,
5,0.995213,0.991296,0.991426,0.997182,0.997357,0.362601,0.362707,0.893208,0.993075,0.996489,0.997302,96.440404,
6,0.995359,0.991362,0.991120,0.996946,0.998112,0.360057,0.362601,0.892656,0.993299,0.996639,0.997655,96.504739,
7,0.995005,0.991265,0.990793,0.996022,0.998108,0.357408,0.360057,0.892692,0.993161,0.996578,0.997484,96.406780,
8,0.994427,0.991190,0.990635,0.995727,0.996846,0.357408,0.357408,0.892884,0.992348,0.995822,0.996984,96.202855,
9,0.994993,0.991163,0.991653,0.996707,0.997053,0.371395,0.385095,0.892683,0.992832,0.996323,0.997353,96.399619,
10,0.994632,0.991235,0.990492,0.996021,0.997246,0.361290,0.371395,0.893523,0.992503,0.995814,0.996463,96.211719,
11,0.994437,0.991555,0.989690,0.995325,0.997607,0.361290,0.361290,0.894476,0.993372,0.996897,0.997858,96.333691,
12,0.994052,0.991156,0.989980,0.994980,0.996800,0.361835,0.363956,0.892958,0.992985,0.996077,0.997070,96.148744,
13,0.995085,0.991735,0.990313,0.996732,0.997835,0.361835,0.361835,0.894049,0.993093,0.996789,0.997592,96.448107,
14,0.994619,0.991460,0.991676,0.996525,0.996021,0.362634,0.362634,0.893857,0.993106,0.996346,0.997218,96.297964,
15,0.994357,0.991382,0.990577,0.995618,0.996698,0.366010,0.370648,0.893556,0.992822,0.996367,0.997686,96.282389,
16,0.994277,0.991213,0.990282,0.995522,0.996792,0.365975,0.366010,0.893200,0.993634,0.997078,0.997705,96.302427,
17,0.994429,0.991255,0.989430,0.996299,0.997057,0.365975,0.365975,0.889921,0.993142,0.996965,0.997988,96.350250,
18,0.995128,0.991013,0.992024,0.995895,0.997953,0.368961,0.370598,0.890741,0.992998,0.996865,0.997936,96.497326,
19,0.994530,0.990856,0.990472,0.996227,0.996954,0.368961,0.368961,0.889356,0.993239,0.996734,0.997644,96.338934,
20,0.994434,0.990947,0.991132,0.995543,0.996831,0.370173,0.371992,0.889525,0.992866,0.996692,0.997945,96.340076,
21,0.994422,0.991351,0.991255,0.994923,0.997075,0.356080,0.370173,0.890531,0.993269,0.997012,0.997203,96.275505,
22,0.994426,0.991332,0.991021,0.996494,0.995937,0.356080,0.356080,0.890544,0.992605,0.996351,0.997088,96.234140,
23,0.994686,0.990940,0.989909,0.996512,0.997453,0.362690,0.363434,0.891449,0.993515,0.997276,0.998211,96.435675,
24,0.994526,0.991388,0.990999,0.996530,0.996177,0.362690,0.362690,0.891071,0.993348,0.997286,0.997748,96.363356,
25,0.993576,0.991111,0.989719,0.995617,0.995114,0.363994,0.363994,0.889503,0.993237,0.997104,0.997665,96.142656,
26,0.993849,0.991222,0.989930,0.995055,0.996174,0.365735,0.365735,0.889932,0.993460,0.997114,0.997719,96.210523,
27,0.994099,0.991308,0.990148,0.995998,0.995936,0.373717,0.374079,0.890600,0.993259,0.997142,0.997224,96.236522,
28,0.994788,0.991129,0.990349,0.996943,0.997054,0.366677,0.373717,0.891267,0.993975,0.998060,0.998759,96.544540,
29,0.995260,0.991079,0.991908,0.996647,0.997740,0.366677,0.366677,0.890738,0.993722,0.997389,0.997512,96.516422,
