Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.995162,0.991892,0.990379,0.997695,0.997156,0.000000,0.000000,0.893420,0.992841,0.996751,0.997842,95.988934,
1,0.994093,0.991760,0.990716,0.995894,0.995496,0.367927,0.369508,0.895349,0.992669,0.996394,0.998081,96.259566,
2,0.995215,0.991717,0.990980,0.995723,0.998652,0.361249,0.367927,0.895833,0.992985,0.996359,0.997852,96.476889,
3,0.994771,0.991149,0.990795,0.995974,0.997537,0.361249,0.361249,0.894641,0.992912,0.996747,0.998657,96.461323,
4,0.995338,0.991440,0.991776,0.996722,0.997827,0.362707,0.372621,0.895422,0.993073,0.997044,0.998844,96.616000,
5,0.995336,0.991774,0.991326,0.998007,0.996889,0.362601,0.362707,0.894894,0.992732,0.996468,0.997912,96.513363,
6,0.995910,0.991470,0.991254,0.997837,0.998802,0.360057,0.362601,0.894627,0.993148,0.996734,0.998228,96.674166,
7,0.995448,0.991337,0.990684,0.997210,0.998408,0.357408,0.360057,0.894817,0.993021,0.996597,0.997840,96.532179,
8,0.994585,0.991454,0.990600,0.996393,0.996655,0.357408,0.357408,0.894230,0.992171,0.995912,0.997612,96.290758,
9,0.995508,0.991689,0.991778,0.998340,0.996870,0.371395,0.385095,0.894273,0.992432,0.996244,0.997939,96.553127,
10,0.995079,0.991606,0.990835,0.997201,0.997179,0.361290,0.371395,0.895913,0.992616,0.996027,0.997259,96.383007,
11,0.995063,0.991913,0.990518,0.996346,0.997901,0.361290,0.361290,0.895582,0.993116,0.996863,0.998801,96.542840,
12,0.994347,0.991841,0.989997,0.995862,0.996616,0.361835,0.363956,0.894048,0.992828,0.996118,0.997875,96.278575,
13,0.995209,0.991950,0.990327,0.997119,0.997771,0.361835,0.361835,0.896312,0.992870,0.996779,0.998408,96.539043,
14,0.995155,0.991788,0.991790,0.998185,0.995962,0.362634,0.362634,0.896082,0.993023,0.996470,0.997736,96.461555,
15,0.994652,0.991669,0.989994,0.996954,0.996645,0.366010,0.370648,0.895140,0.992481,0.996243,0.998382,96.395007,
16,0.994738,0.991249,0.990453,0.996988,0.996767,0.365975,0.366010,0.893820,0.993323,0.997049,0.998264,96.444727,
17,0.995124,0.991194,0.989472,0.997880,0.997709,0.365975,0.365975,0.891642,0.992887,0.996870,0.998757,96.557845,
18,0.995643,0.991101,0.991804,0.997277,0.998350,0.368961,0.370598,0.892296,0.992790,0.996726,0.998369,96.636976,
19,0.995018,0.991505,0.990623,0.997650,0.996803,0.368961,0.368961,0.891801,0.993342,0.996947,0.997994,96.483530,
20,0.994793,0.991407,0.990883,0.996332,0.997144,0.370173,0.371992,0.891388,0.992635,0.996548,0.998404,96.447316,
21,0.994619,0.991681,0.990531,0.995645,0.997313,0.356080,0.370173,0.892066,0.992836,0.996658,0.997513,96.325013,
22,0.994670,0.991543,0.990865,0.997432,0.995852,0.356080,0.356080,0.892306,0.992370,0.996236,0.997643,96.325288,
23,0.994942,0.991402,0.989990,0.997555,0.997079,0.362690,0.363434,0.892739,0.993200,0.997105,0.998545,96.508966,
24,0.995029,0.991546,0.990615,0.998196,0.996374,0.362690,0.362690,0.892256,0.992946,0.997035,0.998127,96.489980,
25,0.993852,0.991283,0.989806,0.995853,0.995573,0.363994,0.363994,0.890922,0.992802,0.996883,0.998140,96.228691,
26,0.994352,0.991625,0.990279,0.996341,0.996161,0.365735,0.365735,0.892385,0.993075,0.996833,0.998072,96.333784,
27,0.994534,0.991597,0.991240,0.996290,0.996169,0.373717,0.374079,0.892387,0.993180,0.997054,0.997866,96.378276,
28,0.995269,0.991156,0.990232,0.997877,0.997692,0.366677,0.373717,0.892209,0.993573,0.997665,0.999393,96.680497,
29,0.995737,0.991541,0.992227,0.997603,0.997919,0.366677,0.366677,0.892418,0.993470,0.997064,0.998029,96.645957,
