Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.995144,0.991223,0.991483,0.996314,0.997875,0.000000,0.000000,0.888482,0.992024,0.996073,0.996922,95.877083,
1,0.994299,0.990740,0.991963,0.995152,0.996379,0.367927,0.369508,0.890317,0.991956,0.995764,0.997208,96.202564,
2,0.994648,0.990604,0.991892,0.993872,0.998512,0.361249,0.367927,0.890736,0.992063,0.995623,0.996626,96.217087,
3,0.994613,0.990238,0.991905,0.994641,0.997920,0.361249,0.361249,0.889566,0.991979,0.996010,0.997626,96.306192,
4,0.994912,0.990791,0.991788,0.994661,0.998585,0.362707,0.372621,0.891204,0.992509,0.996347,0.998008,96.421926,
5,0.995083,0.990956,0.992241,0.996452,0.997262,0.362601,0.362707,0.890236,0.992181,0.995867,0.997079,96.361565,
6,0.995579,0.990888,0.992196,0.995856,0.999199,0.360057,0.362601,0.889677,0.992192,0.996088,0.997440,96.504916,
7,0.995265,0.990844,0.991515,0.995376,0.999125,0.357408,0.360057,0.890426,0.992318,0.996042,0.997184,96.411097,
8,0.994513,0.990628,0.991784,0.994726,0.997479,0.357408,0.357408,0.889305,0.991585,0.995364,0.997073,96.204124,
9,0.995123,0.990284,0.991548,0.996536,0.997975,0.371395,0.385095,0.884495,0.991413,0.995542,0.997039,96.360092,
10,0.994402,0.990370,0.991013,0.994955,0.997527,0.361290,0.371395,0.885817,0.991373,0.995174,0.996218,96.107061,
11,0.994264,0.990753,0.990434,0.994052,0.998068,0.361290,0.361290,0.885736,0.991843,0.995934,0.997759,96.236679,
12,0.993895,0.990218,0.990723,0.994228,0.996933,0.361835,0.363956,0.885303,0.991555,0.995073,0.996852,96.044538,
13,0.994369,0.990235,0.990124,0.995028,0.997947,0.361835,0.361835,0.885665,0.991479,0.995790,0.997250,96.211303,
14,0.994351,0.990144,0.991685,0.995914,0.996300,0.362634,0.362634,0.886045,0.991463,0.995380,0.996506,96.130565,
15,0.993722,0.990151,0.989456,0.994981,0.996584,0.366010,0.370648,0.885374,0.991134,0.995445,0.997115,96.047913,
16,0.994451,0.990311,0.990415,0.994923,0.998063,0.365975,0.366010,0.884646,0.992126,0.996175,0.997196,96.250934,
17,0.994215,0.990207,0.989580,0.995747,0.997250,0.365975,0.365975,0.884276,0.991891,0.996179,0.997626,96.232833,
18,0.995065,0.990250,0.991904,0.995292,0.998651,0.368961,0.370598,0.884521,0.991576,0.996021,0.997078,96.369628,
19,0.994400,0.990075,0.990755,0.995923,0.996994,0.368961,0.368961,0.884417,0.992224,0.996235,0.997176,96.245468,
20,0.994129,0.990733,0.991548,0.994237,0.996898,0.370173,0.371992,0.884019,0.991141,0.995722,0.997487,96.184329,
21,0.994178,0.990503,0.991431,0.993984,0.997403,0.356080,0.370173,0.884438,0.991828,0.996166,0.996743,96.139762,
22,0.994047,0.990400,0.991014,0.995527,0.996047,0.356080,0.356080,0.884436,0.991149,0.995665,0.996723,96.083808,
23,0.994218,0.990053,0.990508,0.995512,0.996976,0.362690,0.363434,0.885351,0.992004,0.996513,0.997718,96.251962,
24,0.994507,0.990725,0.991005,0.995989,0.996832,0.362690,0.362690,0.886124,0.991886,0.996391,0.997384,96.282266,
25,0.993396,0.989942,0.990163,0.994336,0.995879,0.363994,0.363994,0.883323,0.991481,0.996195,0.997246,96.020031,
26,0.993953,0.990091,0.990827,0.994674,0.996719,0.365735,0.365735,0.884844,0.991954,0.996190,0.997384,96.156873,
27,0.994274,0.990409,0.991538,0.995234,0.996618,0.373717,0.374079,0.885275,0.992177,0.996574,0.997007,96.225944,
28,0.994786,0.990478,0.990379,0.996385,0.997755,0.366677,0.373717,0.885211,0.992490,0.997188,0.998327,96.462597,
29,0.994678,0.990733,0.991419,0.995068,0.997828,0.366677,0.366677,0.884414,0.992133,0.996460,0.997066,96.303827,
