Picture Number:    0	 QP:    4  [ PSNR-Y: 48.32 dB,	PSNR-U: 49.47 dB,	PSNR-V: 50.65 dB,	MSE-Y: 0.96,	MSE-U: 0.73,	MSE-V: 0.56,	SSIM-Y: 0.99121,	SSIM-U: 0.98959,	SSIM-V: 0.99287 ]	  13290 bytes
Picture Number:    1	 QP:   27  [ PSNR-Y: 48.41 dB,	PSNR-U: 49.20 dB,	PSNR-V: 50.29 dB,	MSE-Y: 0.94,	MSE-U: 0.78,	MSE-V: 0.61,	SSIM-Y: 0.99136,	SSIM-U: 0.98901,	SSIM-V: 0.99282 ]	    158 bytes
Picture Number:    2	 QP:   26  [ PSNR-Y: 48.43 dB,	PSNR-U: 49.41 dB,	PSNR-V: 50.47 dB,	MSE-Y: 0.93,	MSE-U: 0.74,	MSE-V: 0.58,	SSIM-Y: 0.99134,	SSIM-U: 0.98953,	SSIM-V: 0.99269 ]	      5 bytes
Picture Number:    3	 QP:   27  [ PSNR-Y: 48.37 dB,	PSNR-U: 49.03 dB,	PSNR-V: 50.98 dB,	MSE-Y: 0.95,	MSE-U: 0.81,	MSE-V: 0.52,	SSIM-Y: 0.99125,	SSIM-U: 0.98902,	SSIM-V: 0.99277 ]	     24 bytes
Picture Number:    4	 QP:   24  [ PSNR-Y: 48.43 dB,	PSNR-U: 49.14 dB,	PSNR-V: 50.79 dB,	MSE-Y: 0.93,	MSE-U: 0.79,	MSE-V: 0.54,	SSIM-Y: 0.99138,	SSIM-U: 0.98937,	SSIM-V: 0.99264 ]	      5 bytes
Picture Number:    5	 QP:   27  [ PSNR-Y: 48.40 dB,	PSNR-U: 49.28 dB,	PSNR-V: 50.63 dB,	MSE-Y: 0.94,	MSE-U: 0.77,	MSE-V: 0.56,	SSIM-Y: 0.99127,	SSIM-U: 0.98895,	SSIM-V: 0.99270 ]	     49 bytes
Picture Number:    6	 QP:   26  [ PSNR-Y: 48.35 dB,	PSNR-U: 49.38 dB,	PSNR-V: 50.92 dB,	MSE-Y: 0.95,	MSE-U: 0.75,	MSE-V: 0.53,	SSIM-Y: 0.99127,	SSIM-U: 0.98951,	SSIM-V: 0.99274 ]	      5 bytes
Picture Number:    7	 QP:   27  [ PSNR-Y: 48.46 dB,	PSNR-U: 49.31 dB,	PSNR-V: 50.64 dB,	MSE-Y: 0.93,	MSE-U: 0.76,	MSE-V: 0.56,	SSIM-Y: 0.99134,	SSIM-U: 0.98922,	SSIM-V: 0.99266 ]	     24 bytes
Picture Number:    8	 QP:   21  [ PSNR-Y: 48.38 dB,	PSNR-U: 49.46 dB,	PSNR-V: 51.00 dB,	MSE-Y: 0.94,	MSE-U: 0.74,	MSE-V: 0.52,	SSIM-Y: 0.99126,	SSIM-U: 0.98959,	SSIM-V: 0.99282 ]	      5 bytes
Picture Number:    9	 QP:   27  [ PSNR-Y: 48.37 dB,	PSNR-U: 49.44 dB,	PSNR-V: 50.99 dB,	MSE-Y: 0.95,	MSE-U: 0.74,	MSE-V: 0.52,	SSIM-Y: 0.99130,	SSIM-U: 0.98955,	SSIM-V: 0.99290 ]	     69 bytes
Picture Number:   10	 QP:   26  [ PSNR-Y: 48.43 dB,	PSNR-U: 49.59 dB,	PSNR-V: 50.97 dB,	MSE-Y: 0.93,	MSE-U: 0.71,	MSE-V: 0.52,	SSIM-Y: 0.99134,	SSIM-U: 0.98972,	SSIM-V: 0.99285 ]	      5 bytes
Picture Number:   11	 QP:   27  [ PSNR-Y: 48.36 dB,	PSNR-U: 49.11 dB,	PSNR-V: 50.90 dB,	MSE-Y: 0.95,	MSE-U: 0.80,	MSE-V: 0.53,	SSIM-Y: 0.99129,	SSIM-U: 0.98922,	SSIM-V: 0.99272 ]	     24 bytes
