Picture Number:    0	 QP:    4  [ PSNR-Y: 48.33 dB,	PSNR-U: 49.63 dB,	PSNR-V: 50.77 dB,	MSE-Y: 0.96,	MSE-U: 0.71,	MSE-V: 0.54,	SSIM-Y: 0.99120,	SSIM-U: 0.98987,	SSIM-V: 0.99305 ]	  12724 bytes
Picture Number:    1	 QP:   32  [ PSNR-Y: 48.37 dB,	PSNR-U: 49.27 dB,	PSNR-V: 50.38 dB,	MSE-Y: 0.95,	MSE-U: 0.77,	MSE-V: 0.60,	SSIM-Y: 0.99136,	SSIM-U: 0.98911,	SSIM-V: 0.99296 ]	    151 bytes
Picture Number:    2	 QP:   31  [ PSNR-Y: 48.43 dB,	PSNR-U: 49.54 dB,	PSNR-V: 50.58 dB,	MSE-Y: 0.93,	MSE-U: 0.72,	MSE-V: 0.57,	SSIM-Y: 0.99137,	SSIM-U: 0.98977,	SSIM-V: 0.99289 ]	      5 bytes
Picture Number:    3	 QP:   32  [ PSNR-Y: 48.36 dB,	PSNR-U: 49.08 dB,	PSNR-V: 51.10 dB,	MSE-Y: 0.95,	MSE-U: 0.80,	MSE-V: 0.50,	SSIM-Y: 0.99130,	SSIM-U: 0.98903,	SSIM-V: 0.99297 ]	     26 bytes
Picture Number:    4	 QP:   29  [ PSNR-Y: 48.43 dB,	PSNR-U: 49.25 dB,	PSNR-V: 51.02 dB,	MSE-Y: 0.93,	MSE-U: 0.77,	MSE-V: 0.51,	SSIM-Y: 0.99143,	SSIM-U: 0.98959,	SSIM-V: 0.99295 ]	      5 bytes
Picture Number:    5	 QP:   32  [ PSNR-Y: 48.40 dB,	PSNR-U: 49.30 dB,	PSNR-V: 50.79 dB,	MSE-Y: 0.94,	MSE-U: 0.76,	MSE-V: 0.54,	SSIM-Y: 0.99134,	SSIM-U: 0.98895,	SSIM-V: 0.99290 ]	     46 bytes
Picture Number:    6	 QP:   31  [ PSNR-Y: 48.36 dB,	PSNR-U: 49.44 dB,	PSNR-V: 51.07 dB,	MSE-Y: 0.95,	MSE-U: 0.74,	MSE-V: 0.51,	SSIM-Y: 0.99130,	SSIM-U: 0.98969,	SSIM-V: 0.99295 ]	      5 bytes
Picture Number:    7	 QP:   32  [ PSNR-Y: 48.41 dB,	PSNR-U: 49.30 dB,	PSNR-V: 50.83 dB,	MSE-Y: 0.94,	MSE-U: 0.76,	MSE-V: 0.54,	SSIM-Y: 0.99134,	SSIM-U: 0.98921,	SSIM-V: 0.99295 ]	     24 bytes
Picture Number:    8	 QP:   25  [ PSNR-Y: 48.36 dB,	PSNR-U: 49.55 dB,	PSNR-V: 51.17 dB,	MSE-Y: 0.95,	MSE-U: 0.72,	MSE-V: 0.50,	SSIM-Y: 0.99130,	SSIM-U: 0.98974,	SSIM-V: 0.99311 ]	      5 bytes
Picture Number:    9	 QP:   32  [ PSNR-Y: 48.34 dB,	PSNR-U: 49.49 dB,	PSNR-V: 51.12 dB,	MSE-Y: 0.95,	MSE-U: 0.73,	MSE-V: 0.50,	SSIM-Y: 0.99126,	SSIM-U: 0.98958,	SSIM-V: 0.99306 ]	     69 bytes
Picture Number:   10	 QP:   31  [ PSNR-Y: 48.40 dB,	PSNR-U: 49.71 dB,	PSNR-V: 51.12 dB,	MSE-Y: 0.94,	MSE-U: 0.70,	MSE-V: 0.50,	SSIM-Y: 0.99133,	SSIM-U: 0.99001,	SSIM-V: 0.99309 ]	      5 bytes
