Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.995920,0.991053,0.993977,0.995167,0.998993,0.000000,0.000000,0.874031,0.994373,0.997967,0.998860,96.299088,
1,0.992693,0.987983,0.986242,0.992223,0.997759,0.141548,0.152803,0.844036,0.990997,0.996246,0.998179,95.644922,
2,0.992025,0.985673,0.986043,0.992036,0.997025,0.137283,0.141548,0.842670,0.990227,0.995797,0.997662,95.428974,
3,0.990864,0.985004,0.983858,0.991305,0.995905,0.137283,0.137283,0.839841,0.988942,0.995154,0.997520,95.130547,
4,0.991517,0.984269,0.984991,0.992833,0.996118,0.173201,0.173201,0.839384,0.989807,0.995856,0.997702,95.371292,
5,0.990892,0.983565,0.984602,0.992160,0.995416,0.150192,0.206343,0.836427,0.988743,0.995403,0.997848,95.191464,
6,0.991039,0.984042,0.983831,0.991889,0.996230,0.150192,0.150192,0.832869,0.988357,0.994910,0.997240,95.151998,
7,0.990379,0.982669,0.983783,0.990253,0.996236,0.198175,0.198175,0.833312,0.988369,0.994873,0.997213,95.069039,
8,0.991507,0.985089,0.987337,0.991045,0.995978,0.200092,0.205264,0.838219,0.989817,0.995681,0.997652,95.394029,
9,0.990015,0.982270,0.985937,0.988356,0.995731,0.200092,0.200092,0.830448,0.987694,0.994864,0.997068,94.977860,
10,0.989718,0.981015,0.985124,0.989140,0.995193,0.208502,0.208502,0.828634,0.986904,0.994127,0.996691,94.858279,
11,0.988249,0.979928,0.983847,0.987007,0.993980,0.223990,0.223990,0.825422,0.984789,0.992922,0.995989,94.440663,
12,0.990065,0.980617,0.982972,0.990857,0.996023,0.215536,0.228705,0.824987,0.987392,0.994903,0.997275,95.028237,
13,0.988091,0.978859,0.980006,0.988904,0.994454,0.215536,0.215536,0.818380,0.983218,0.992386,0.995803,94.351385,
14,0.987641,0.975674,0.977913,0.986961,0.996798,0.287538,0.287538,0.812341,0.983828,0.993242,0.996143,94.420596,
15,0.989891,0.975862,0.980586,0.990300,0.998720,0.424631,0.424631,0.814806,0.985650,0.994049,0.997023,95.206923,
16,0.992332,0.982727,0.987634,0.991094,0.998675,0.533203,0.533203,0.831097,0.989022,0.995791,0.997580,96.017770,
17,0.988040,0.973481,0.978922,0.987966,0.997383,0.535552,0.535552,0.809749,0.985488,0.994032,0.996465,94.907697,
18,0.986810,0.973046,0.975469,0.987128,0.996821,0.514791,0.548226,0.797859,0.982647,0.992899,0.996306,94.540670,
19,0.986417,0.972568,0.977113,0.987917,0.994593,0.429396,0.514791,0.795593,0.981467,0.991938,0.995420,94.223652,
20,0.987926,0.974568,0.980072,0.988548,0.995869,0.338466,0.429396,0.798593,0.981361,0.991750,0.994859,94.375633,
21,0.986473,0.968692,0.977181,0.987266,0.996477,0.263109,0.338466,0.796527,0.980414,0.991271,0.994998,93.946353,
22,0.986570,0.972823,0.978875,0.986954,0.994712,0.263109,0.263109,0.796965,0.980907,0.991503,0.994958,93.976535,
23,0.985632,0.972806,0.975981,0.987861,0.993096,0.265251,0.265251,0.800643,0.981155,0.991375,0.995046,93.776241,
24,0.990300,0.980939,0.984162,0.992917,0.994522,0.346116,0.346116,0.818575,0.986253,0.994059,0.996824,95.177082,
25,0.987574,0.975640,0.980143,0.989593,0.993761,0.440566,0.440566,0.804881,0.982341,0.992405,0.996173,94.571057,
26,0.986503,0.972442,0.979580,0.989589,0.992292,0.503512,0.503512,0.797204,0.980152,0.991001,0.995190,94.274011,
27,0.982829,0.971284,0.969616,0.984576,0.992019,0.565596,0.565596,0.790151,0.977093,0.989698,0.994453,93.430805,
28,0.986825,0.973801,0.978924,0.986532,0.995277,0.531563,0.571974,0.794195,0.980173,0.991239,0.995752,94.438242,
29,0.980599,0.964712,0.969781,0.981324,0.990709,0.531563,0.531563,0.774288,0.971140,0.985797,0.992433,92.550739,
