Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.991220,0.983452,0.987131,0.990396,0.996339,0.000000,0.000000,0.797763,0.984380,0.992945,0.995935,94.793818,
1,0.989302,0.981706,0.983778,0.989293,0.994483,0.141548,0.152803,0.782082,0.981359,0.991645,0.995426,94.462285,
2,0.988488,0.980290,0.982734,0.988414,0.994023,0.137283,0.141548,0.781574,0.980620,0.991200,0.994865,94.212172,
3,0.988508,0.979790,0.982749,0.988941,0.993842,0.137283,0.137283,0.779512,0.979851,0.990848,0.994905,94.201883,
4,0.988289,0.979780,0.982885,0.988602,0.993461,0.173201,0.173201,0.777226,0.979523,0.990859,0.994581,94.176473,
5,0.987966,0.978560,0.982739,0.988586,0.993090,0.150192,0.206343,0.774425,0.978587,0.990174,0.994772,94.058308,
6,0.987669,0.979892,0.978619,0.987327,0.994894,0.150192,0.150192,0.770076,0.977423,0.989429,0.993906,93.889308,
7,0.985091,0.973683,0.972105,0.986938,0.993889,0.198175,0.198175,0.769054,0.977063,0.989393,0.993762,93.379331,
8,0.988450,0.978644,0.983132,0.988954,0.993860,0.200092,0.205264,0.773356,0.978741,0.990222,0.994106,94.179655,
9,0.984416,0.975441,0.978296,0.982725,0.991569,0.200092,0.200092,0.764620,0.974276,0.987819,0.993220,93.113544,
10,0.982801,0.973965,0.975861,0.980222,0.990957,0.208502,0.208502,0.761220,0.970704,0.985272,0.991398,92.503534,
11,0.983120,0.974057,0.974489,0.982090,0.991039,0.223990,0.223990,0.760551,0.971184,0.985752,0.991503,92.625228,
12,0.983717,0.973975,0.972762,0.982793,0.992961,0.215536,0.228705,0.759016,0.972472,0.986340,0.991844,92.803207,
13,0.982606,0.972158,0.972073,0.982669,0.991128,0.215536,0.215536,0.756357,0.969746,0.984862,0.991196,92.436186,
14,0.983730,0.971125,0.974595,0.984596,0.991656,0.287538,0.287538,0.752139,0.969097,0.984988,0.991628,92.815207,
15,0.983154,0.966068,0.972876,0.985037,0.992355,0.424631,0.424631,0.750792,0.971504,0.986510,0.992546,93.021961,
16,0.984503,0.971666,0.976443,0.983300,0.993543,0.533203,0.533203,0.754766,0.972423,0.986735,0.992611,93.473357,
17,0.981358,0.965859,0.972435,0.980041,0.991832,0.535552,0.535552,0.741947,0.969026,0.985514,0.991901,92.678997,
18,0.980372,0.958810,0.970816,0.980911,0.991817,0.514791,0.548226,0.729626,0.965780,0.984322,0.991688,92.365992,
19,0.978585,0.960844,0.967825,0.978259,0.990148,0.429396,0.514791,0.727190,0.963973,0.983594,0.990838,91.763119,
20,0.980195,0.965323,0.968243,0.981310,0.990374,0.338466,0.429396,0.728682,0.963371,0.983295,0.990902,91.981247,
21,0.978725,0.956574,0.965892,0.979821,0.991749,0.263109,0.338466,0.726429,0.962934,0.983585,0.991354,91.614302,
22,0.979366,0.960342,0.968323,0.977665,0.992512,0.263109,0.263109,0.725442,0.962271,0.983268,0.990505,91.669563,
23,0.979580,0.962296,0.967527,0.979303,0.991629,0.265251,0.265251,0.728554,0.963898,0.984108,0.991028,91.800573,
24,0.981943,0.969674,0.971856,0.982138,0.990991,0.346116,0.346116,0.735802,0.967764,0.985724,0.992161,92.588102,
25,0.980461,0.966016,0.967337,0.981915,0.990822,0.440566,0.440566,0.731764,0.965356,0.984857,0.992199,92.349397,
26,0.977391,0.961047,0.966925,0.976278,0.988970,0.503512,0.503512,0.725232,0.959730,0.980907,0.990342,91.429314,
27,0.975907,0.962487,0.963620,0.975005,0.987257,0.565596,0.565596,0.722127,0.956506,0.978559,0.988337,90.917570,
28,0.976453,0.961425,0.969051,0.973237,0.987502,0.531563,0.571974,0.724548,0.959863,0.980928,0.990271,91.259367,
29,0.971625,0.956756,0.959595,0.968335,0.985054,0.531563,0.531563,0.713641,0.950985,0.974327,0.985251,89.507526,
