Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.983584,0.970731,0.974751,0.984944,0.991081,0.000000,0.000000,0.714222,0.960871,0.982480,0.990409,92.202218,
1,0.982482,0.969461,0.970945,0.984453,0.990931,0.141548,0.152803,0.707580,0.958306,0.981351,0.989912,92.057071,
2,0.981227,0.969346,0.970376,0.982165,0.989732,0.137283,0.141548,0.705016,0.956074,0.980240,0.989118,91.662929,
3,0.980228,0.967262,0.966848,0.982662,0.989249,0.137283,0.137283,0.704223,0.956387,0.980326,0.989417,91.476793,
4,0.979457,0.967485,0.969344,0.979525,0.988264,0.173201,0.173201,0.703115,0.954613,0.978825,0.988693,91.228389,
5,0.978342,0.966020,0.967786,0.979542,0.986618,0.150192,0.206343,0.701889,0.953943,0.978725,0.988934,90.971668,
6,0.978426,0.967032,0.965782,0.979336,0.987674,0.150192,0.150192,0.698278,0.952971,0.978334,0.988290,90.922148,
7,0.976909,0.961739,0.960438,0.980999,0.987010,0.198175,0.198175,0.697525,0.952948,0.978404,0.987960,90.634533,
8,0.979156,0.966556,0.968563,0.981031,0.987094,0.200092,0.205264,0.699227,0.952317,0.977397,0.986979,90.995665,
9,0.977524,0.963882,0.969324,0.976773,0.986504,0.200092,0.200092,0.693960,0.950102,0.976382,0.986634,90.570408,
10,0.975947,0.962677,0.966292,0.973248,0.986953,0.208502,0.208502,0.689827,0.946048,0.973609,0.984609,89.951156,
11,0.976988,0.962712,0.964095,0.975991,0.988656,0.223990,0.223990,0.690764,0.946925,0.973934,0.985009,90.243162,
12,0.974995,0.963737,0.959710,0.974488,0.986585,0.215536,0.228705,0.686553,0.944752,0.972617,0.984457,89.699881,
13,0.974627,0.961295,0.960587,0.974237,0.986146,0.215536,0.215536,0.685993,0.943792,0.971587,0.983260,89.478466,
14,0.974873,0.959936,0.960470,0.975095,0.986651,0.287538,0.287538,0.682664,0.943494,0.971932,0.983715,89.678826,
15,0.976629,0.959608,0.963154,0.979372,0.986783,0.424631,0.424631,0.683208,0.943600,0.972183,0.983857,90.255673,
16,0.973426,0.963205,0.963204,0.970627,0.983918,0.533203,0.533203,0.677182,0.937418,0.968095,0.981327,89.315962,
17,0.973087,0.957826,0.954631,0.972637,0.987683,0.535552,0.535552,0.673918,0.936830,0.967874,0.981054,89.217268,
18,0.972182,0.953521,0.957349,0.974170,0.984309,0.514791,0.548226,0.665899,0.932021,0.964951,0.979348,88.732157,
19,0.969084,0.949669,0.952314,0.970747,0.982803,0.429396,0.514791,0.661480,0.928379,0.962531,0.977484,87.702956,
20,0.968714,0.949808,0.954632,0.972001,0.979678,0.338466,0.429396,0.657553,0.923957,0.959746,0.975027,87.189575,
21,0.966578,0.946010,0.953269,0.968804,0.978477,0.263109,0.338466,0.655520,0.922876,0.959622,0.974952,86.625184,
22,0.966862,0.949475,0.957567,0.964831,0.978830,0.263109,0.263109,0.653831,0.920149,0.958128,0.974186,86.558694,
23,0.967049,0.949767,0.957691,0.967876,0.976887,0.265251,0.265251,0.656144,0.923348,0.959707,0.974527,86.698942,
24,0.969057,0.954239,0.959006,0.969795,0.978513,0.346116,0.346116,0.658830,0.925940,0.961043,0.975707,87.384900,
25,0.967088,0.953961,0.954307,0.968133,0.977155,0.440566,0.440566,0.658260,0.924984,0.960211,0.975408,87.021993,
26,0.961634,0.947935,0.951208,0.957886,0.974349,0.503512,0.503512,0.651702,0.917153,0.954253,0.972052,85.407969,
27,0.963916,0.949790,0.950024,0.962231,0.976911,0.565596,0.565596,0.654572,0.920832,0.957087,0.973853,86.240764,
28,0.964384,0.949024,0.950823,0.963957,0.976570,0.531563,0.571974,0.652941,0.918043,0.953885,0.970945,85.929415,
29,0.955089,0.942163,0.943118,0.952480,0.967342,0.531563,0.531563,0.645168,0.907490,0.944491,0.962704,82.894046,
