Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.451819,0.864052,0.449413,0.395037,0.333081,0.000000,0.000000,0.088619,0.170144,0.183010,0.193944,0.000000,
1,0.428755,0.898057,0.486757,0.290921,0.319081,0.367927,0.369508,0.089107,0.159867,0.168714,0.169996,0.000000,
2,0.462449,0.857792,0.476431,0.374707,0.366544,0.361249,0.367927,0.089148,0.169783,0.182905,0.194375,0.000000,
3,0.435542,0.888529,0.516080,0.292041,0.323780,0.361249,0.361249,0.088940,0.159287,0.168276,0.169464,0.000000,
4,0.439030,0.874631,0.482482,0.370741,0.293816,0.362707,0.372621,0.089283,0.170477,0.183891,0.196447,0.000000,
5,0.432037,0.885746,0.506892,0.296510,0.316740,0.362601,0.362707,0.088514,0.159396,0.168457,0.169155,0.000000,
6,0.455198,0.881351,0.472924,0.376207,0.337302,0.360057,0.362601,0.088796,0.169841,0.181695,0.195370,0.000000,
7,0.423144,0.883068,0.476697,0.290011,0.315481,0.357408,0.360057,0.087622,0.159602,0.167845,0.169716,0.000000,
8,0.434479,0.883433,0.521213,0.332431,0.286856,0.357408,0.357408,0.088998,0.169494,0.182845,0.196972,0.000000,
9,0.435081,0.879920,0.535251,0.291406,0.315453,0.371395,0.385095,0.088107,0.159619,0.167829,0.170722,0.000000,
10,0.426422,0.873429,0.476025,0.331146,0.295398,0.361290,0.371395,0.089030,0.169956,0.183442,0.195192,0.000000,
11,0.435090,0.926189,0.503823,0.289434,0.316555,0.361290,0.361290,0.089086,0.159680,0.168384,0.169328,0.000000,
12,0.433779,0.877325,0.450019,0.372230,0.295753,0.361835,0.363956,0.088890,0.170263,0.183044,0.195295,0.000000,
13,0.433953,0.903097,0.513854,0.290226,0.316201,0.361835,0.361835,0.089618,0.159566,0.168536,0.169119,0.000000,
14,0.423728,0.875694,0.477436,0.319876,0.295444,0.362634,0.362634,0.089408,0.170875,0.183911,0.195261,0.000000,
15,0.435628,0.881551,0.532461,0.294645,0.315373,0.366010,0.370648,0.088448,0.159778,0.167649,0.170102,0.000000,
16,0.462071,0.890019,0.503057,0.375774,0.336203,0.365975,0.366010,0.088482,0.170322,0.183778,0.196561,0.000000,
17,0.431845,0.906348,0.505205,0.289270,0.314583,0.365975,0.365975,0.087787,0.160285,0.168040,0.169247,0.000000,
18,0.415761,0.885758,0.442694,0.322120,0.286674,0.368961,0.370598,0.088684,0.170125,0.182934,0.196167,0.000000,
19,0.429710,0.881969,0.508076,0.290264,0.316185,0.368961,0.368961,0.087352,0.159547,0.168158,0.169061,0.000000,
20,0.442721,0.889421,0.490625,0.319404,0.335877,0.370173,0.371992,0.088702,0.170577,0.183634,0.195231,0.000000,
21,0.430812,0.923798,0.485107,0.290573,0.315485,0.356080,0.370173,0.088563,0.159534,0.168261,0.169475,0.000000,
22,0.425392,0.900921,0.486884,0.319131,0.285177,0.356080,0.356080,0.089055,0.170207,0.183537,0.196276,0.000000,
23,0.441805,0.942994,0.516183,0.294557,0.317108,0.362690,0.363434,0.088956,0.159675,0.167555,0.171503,0.000000,
24,0.426039,0.867193,0.458532,0.332718,0.305565,0.362690,0.362690,0.089300,0.170075,0.183237,0.193708,0.000000,
25,0.439563,0.933285,0.522089,0.290276,0.315143,0.363994,0.363994,0.088094,0.159691,0.167975,0.170773,0.000000,
26,0.418154,0.873650,0.464552,0.322650,0.285760,0.365735,0.365735,0.089106,0.170831,0.183930,0.194520,0.000000,
27,0.422883,0.893087,0.468169,0.290350,0.315694,0.373717,0.374079,0.088038,0.158973,0.167523,0.168736,0.000000,
28,0.444132,0.887020,0.499622,0.378285,0.286974,0.366677,0.373717,0.089126,0.170510,0.183852,0.195137,0.000000,
29,0.440045,0.894994,0.511905,0.304895,0.325748,0.366677,0.366677,0.088242,0.159600,0.167118,0.169623,0.000000,
30,0.445330,0.875736,0.491098,0.328684,0.340763,0.371313,0.371313,0.089385,0.170896,0.184593,0.195381,0.000000,
31,0.439858,0.919353,0.527706,0.291850,0.316979,0.375282,0.375282,0.088998,0.160354,0.168250,0.169344,0.000000,
