Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.994546,0.990429,0.992340,0.994843,0.997237,0.000000,0.000000,0.887767,0.993849,0.997444,0.998177,95.918065,
1,0.991343,0.988144,0.987684,0.991255,0.994808,0.367927,0.369508,0.850917,0.986798,0.993721,0.996550,95.390689,
2,0.991822,0.988371,0.986894,0.990755,0.996936,0.361249,0.367927,0.852511,0.987405,0.993921,0.996227,95.471884,
3,0.991660,0.987011,0.987479,0.991728,0.995894,0.361249,0.361249,0.849955,0.986739,0.993874,0.996853,95.481783,
4,0.991170,0.987215,0.986345,0.991726,0.995089,0.362707,0.372621,0.851489,0.986574,0.993705,0.996625,95.350211,
5,0.992131,0.987422,0.987610,0.993254,0.995711,0.362601,0.362707,0.850426,0.986390,0.993519,0.996470,95.537710,
6,0.991929,0.986775,0.987079,0.993066,0.995871,0.360057,0.362601,0.849383,0.986531,0.993609,0.996868,95.526981,
7,0.991954,0.987038,0.986493,0.992396,0.996727,0.357408,0.360057,0.849714,0.986798,0.993757,0.996501,95.507463,
8,0.991163,0.986941,0.986183,0.991664,0.995322,0.357408,0.357408,0.850472,0.985693,0.992865,0.995624,95.219901,
9,0.992278,0.987919,0.986902,0.993352,0.996250,0.371395,0.385095,0.850616,0.986806,0.993934,0.996955,95.640975,
10,0.992191,0.987383,0.987038,0.992680,0.996696,0.361290,0.371395,0.850851,0.986758,0.993732,0.996163,95.535706,
11,0.991896,0.987056,0.986219,0.992411,0.996703,0.361290,0.361290,0.850568,0.986745,0.994009,0.996897,95.542697,
12,0.991243,0.987895,0.985872,0.991328,0.995615,0.361835,0.363956,0.849989,0.986557,0.993150,0.996041,95.293601,
13,0.992102,0.987744,0.986641,0.993183,0.996123,0.361835,0.361835,0.850492,0.986144,0.993438,0.996053,95.492299,
14,0.992288,0.987844,0.987882,0.993837,0.995343,0.362634,0.362634,0.850984,0.986813,0.993535,0.995891,95.528493,
15,0.991292,0.986917,0.985475,0.992399,0.995495,0.366010,0.370648,0.850574,0.986406,0.993471,0.996565,95.365127,
16,0.991520,0.986885,0.985875,0.992192,0.996092,0.365975,0.366010,0.849832,0.987256,0.994201,0.997178,95.500653,
17,0.992045,0.986643,0.986157,0.993125,0.996739,0.365975,0.365975,0.849187,0.987406,0.994497,0.997590,95.662187,
18,0.992636,0.986572,0.987544,0.992242,0.998351,0.368961,0.370598,0.850414,0.987592,0.994747,0.997409,95.792211,
19,0.992273,0.986881,0.987382,0.994097,0.995767,0.368961,0.368961,0.849884,0.987968,0.994728,0.996713,95.658544,
20,0.991606,0.986959,0.987115,0.991819,0.995891,0.370173,0.371992,0.851605,0.987709,0.994723,0.997409,95.568776,
21,0.992264,0.987009,0.988184,0.992332,0.996681,0.356080,0.370173,0.850736,0.987978,0.994747,0.996803,95.647294,
22,0.991533,0.986958,0.987989,0.992737,0.994428,0.356080,0.356080,0.850675,0.986655,0.993858,0.996076,95.383702,
23,0.992277,0.986953,0.987934,0.993429,0.995985,0.362690,0.363434,0.850197,0.987114,0.994391,0.997280,95.677041,
24,0.992122,0.986792,0.988013,0.993921,0.995161,0.362690,0.362690,0.852104,0.986992,0.994281,0.996885,95.605863,
25,0.990976,0.987105,0.986472,0.992350,0.994001,0.363994,0.363994,0.848954,0.986906,0.994105,0.996388,95.310641,
26,0.991360,0.986484,0.986825,0.992533,0.994975,0.365735,0.365735,0.851282,0.987565,0.994276,0.997253,95.476295,
27,0.991817,0.986961,0.987335,0.992961,0.995411,0.373717,0.374079,0.849835,0.987372,0.994385,0.997224,95.588176,
28,0.992242,0.987532,0.986612,0.993108,0.996679,0.366677,0.373717,0.850353,0.987681,0.994971,0.997862,95.749927,
29,0.992581,0.987347,0.988260,0.992976,0.996859,0.366677,0.366677,0.849294,0.987416,0.994258,0.997103,95.730121,
