Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.976256,0.969623,0.968460,0.974669,0.984727,0.000000,0.000000,0.727174,0.952462,0.975716,0.985812,89.912095,
1,0.973530,0.968763,0.966334,0.970840,0.981801,0.367927,0.369508,0.723306,0.949015,0.973407,0.984228,89.568979,
2,0.974316,0.968976,0.966770,0.969260,0.984990,0.361249,0.367927,0.722449,0.948914,0.973006,0.983641,89.666121,
3,0.974482,0.968478,0.967443,0.970657,0.984112,0.361249,0.361249,0.721618,0.949023,0.973377,0.984390,89.778921,
4,0.973483,0.968208,0.966187,0.969980,0.982696,0.362707,0.372621,0.722402,0.948030,0.972714,0.984175,89.515316,
5,0.973786,0.968811,0.965787,0.971609,0.982184,0.362601,0.362707,0.721174,0.947157,0.971882,0.982538,89.412884,
6,0.974466,0.968506,0.967129,0.971189,0.983799,0.360057,0.362601,0.720895,0.948537,0.973113,0.983958,89.727296,
7,0.974338,0.968239,0.966908,0.970694,0.984087,0.357408,0.360057,0.721066,0.947945,0.972643,0.983188,89.612601,
8,0.973555,0.968360,0.965169,0.970141,0.983289,0.357408,0.357408,0.721973,0.947266,0.972140,0.983322,89.429311,
9,0.973696,0.968035,0.967196,0.971673,0.981383,0.371395,0.385095,0.721093,0.948024,0.972647,0.984177,89.571120,
10,0.974217,0.968943,0.967028,0.971088,0.983060,0.361290,0.371395,0.721668,0.947461,0.972176,0.982773,89.536119,
11,0.974323,0.968305,0.967233,0.970681,0.983840,0.361290,0.361290,0.722095,0.948250,0.973048,0.983962,89.693361,
12,0.973563,0.968974,0.966142,0.969793,0.982786,0.361835,0.363956,0.721390,0.947683,0.972181,0.983357,89.443199,
13,0.974196,0.969032,0.965391,0.972178,0.983017,0.361835,0.361835,0.721165,0.947022,0.972341,0.983876,89.626049,
14,0.974133,0.967832,0.966492,0.972829,0.982135,0.362634,0.362634,0.722807,0.948528,0.972578,0.983460,89.594038,
15,0.973721,0.968752,0.966590,0.970823,0.982213,0.366010,0.370648,0.721523,0.947290,0.972294,0.984048,89.541113,
16,0.973919,0.969416,0.966333,0.970109,0.983239,0.365975,0.366010,0.720927,0.949076,0.973622,0.984501,89.683926,
17,0.973919,0.968780,0.965412,0.970412,0.983782,0.365975,0.365975,0.722164,0.948981,0.973540,0.984979,89.716941,
18,0.974579,0.968633,0.966845,0.970708,0.984627,0.368961,0.370598,0.722107,0.948411,0.973289,0.984287,89.795375,
19,0.974330,0.968402,0.967060,0.971399,0.983310,0.368961,0.368961,0.721350,0.949249,0.973793,0.984611,89.792805,
20,0.973678,0.968507,0.965302,0.970375,0.983303,0.370173,0.371992,0.722413,0.948760,0.973636,0.984976,89.673418,
21,0.974058,0.968627,0.965986,0.969435,0.984701,0.356080,0.370173,0.721812,0.948865,0.973683,0.984132,89.672924,
22,0.974262,0.969018,0.966393,0.972648,0.982224,0.356080,0.356080,0.722365,0.948076,0.972622,0.983037,89.580636,
23,0.974341,0.968828,0.964709,0.972206,0.983869,0.362690,0.363434,0.722793,0.948508,0.973416,0.984222,89.735828,
24,0.974687,0.968820,0.966267,0.973175,0.983135,0.362690,0.362690,0.723001,0.949041,0.973752,0.984290,89.832129,
25,0.972747,0.968095,0.963984,0.971737,0.980489,0.363994,0.363994,0.721227,0.947518,0.972521,0.983477,89.293871,
26,0.973334,0.968279,0.966743,0.970696,0.981336,0.365735,0.365735,0.722101,0.948070,0.972836,0.983989,89.478230,
27,0.973569,0.968561,0.966548,0.970661,0.982012,0.373717,0.374079,0.722022,0.948103,0.973031,0.983724,89.526848,
28,0.974193,0.968205,0.965146,0.971491,0.984049,0.366677,0.373717,0.722438,0.948810,0.974019,0.984854,89.787132,
29,0.974611,0.968834,0.965971,0.972199,0.983899,0.366677,0.366677,0.722426,0.949215,0.973648,0.984061,89.799433,
